Library,Location,State,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Item ID Type Name,Item ID Type Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Digital Asset Magement Name,Digital Asset Magement Year,Self-Check Name,Self-Check Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Federated search product Name,Federated search product Year,Electronic Resource Magement Name,Electronic Resource Magement Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Automated Materials Handling Name,Automated Materials Handling Year,Web Content Magement Name,Web Content Magement Year,RFID Provider Name,RFID Provider Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Catalog Enhancement Name,Catalog Enhancement Year,RFID Tag Type Name,RFID Tag Type Year,Institutiol Repository Name,Institutiol Repository Year,Research Services Tool Name,Research Services Tool Year,Previous Discovery Index Name,Previous Discovery Index Year,Archives Magement Name,Archives Magement Year,Previous Link resolver Name,Previous Link resolver Year,number_of_total_trackers_homepage,behaviour_event_listeners_homepage,canvas_fingerprinters_homepage,canvas_font_fingerprinters_homepage,cookies_homepage,fb_pixel_events_homepage,key_logging_homepage,session_recorders_homepage,third_party_trackers_homepage,google_homepage,google_analytics_homepage,facebook_homepage,number_of_total_trackers_catalog,behaviour_event_listeners_catalog,canvas_fingerprinters_catalog,canvas_font_fingerprinters_catalog,cookies_catalog,fb_pixel_events_catalog,key_logging_catalog,session_recorders_catalog,third_party_trackers_catalog,google_catalog,google_analytics_catalog,facebook_catalog
Azusa City Library,"Azusa, CA",California,https://www.ci.azusa.ca.us/191/Library,http://library.ci.azusa.ca.us/uhtbin/cgisirsi.exe/x/0/0/49,Symphony,2002.0,INLEX/3000,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,51.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banning Library District,"Banning, CA",California,https://www.banninglibraryca.gov/,https://catalog.banning.bywatersolutions.com/,Koha -- ByWater Solutions,2012.0,WorldShare Magement Services,2011.0,Destiny,1998.0,Circulation Plus,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,18.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Bear River Band Library,Bear River Band,California,https://www.bearriverrancheria.org/departments/library/,https://bearriverband.booksys.net/opac/brbl/index.html#menuHome,Atriuum,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,40.0,15.0,4.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
Beaumont Library District,"Beaumont, CA",California,https://bld.lib.ca.us/,https://beaumontlibrary.us,Library.Solution,2002.0,BiblioFile,1992.0,,,,,LS2 PAC,,,,,,,,,,,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,,,,,,,,,,,,,,58.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,28.0,14.0,0.0,21.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,11.0,7.0,0.0
Benicia Public Library,"Benicia, CA",California,https://benicialibrary.org/,https://ls2pac.splashlibraries.org/?config=BENICIA&section=home,Polaris,2022.0,Carl.X,2015.0,Carl,1991.0,,,,,,,LS2 PAC,2011.0,,,3M SelfCheck System Model 7420,,,,,,,,,,,,Drupal,,Bibliotheca,,,,,,NoveList Select,,,,,,,,,,,,,,18.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,12.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berkeley Public Library,"Berkeley, CA",California,https://www.berkeleypubliclibrary.org/,https://encore.berkeley-public.org/iii/encore/?lang=eng,Carl.X,2019.0,Sierra,2015.0,Millennium,2001.0,Innopac,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheca,,,,,,,,,,,,,,,,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverly Hills Public Library,"Beverly Hills, CA",California,https://www.beverlyhills.org/departments/communityservices/beverlyhillspubliclibrary/web.jsp?NFR=1,http://roxbury.beverlyhills.org,Sierra,2016.0,Millennium,1989.0,Innopac,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,17.0,11.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palo Verde Valley Library,"Blythe, CA",California,https://blythelibrary.org/,http://pvv.sirsi.net/uhtbin/cgisirsi/?ps=gFDLuI72Cr/x/104570009/60/81/X,Symphony,2008.0,Horizon,2003.0,Dynix,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brawley Public Library,"Brawley, CA",California,https://www.brawley-ca.gov/community/library/,https://brawley.biblionix.com/catalog/,Apollo,2015.0,Destiny,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,32.0,32.0,20.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bue Park Library,"Bue Park, CA",California,https://bueparklibrary.org/,http://catalog.buepark.lib.ca.us/,Polaris,2009.0,Dynix,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burbank Public Library,"Burbank, CA",California,https://burbanklibrary.org/,https://burb.ent.sirsi.net/,Symphony,1999.0,CLSI,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,99.0,99.0,95.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Burlingame Public Library,"Burlingame, CA",California,https://www.burlingame.org/library/,https://burlingame.bibliocommons.com/,Sierra,2013.0,Dynix,1994.0,GLIS,1983.0,,,BiblioCore,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,13.0,0.0,0.0,22.0,0.0,0.0,0.0,33.0,31.0,19.0,0.0,73.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,43.0,35.0,23.0,0.0
Butte County Library,"Butte County, CA",California,https://www.buttecounty.net/bclibrary/,https://butte.bywatersolutions.com/,Koha -- ByWater Solutions,2014.0,Library.Solution,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,9.0,0.0,0.0,15.0,0.0,0.0,0.0,38.0,34.0,19.0,0.0,27.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,17.0,13.0,0.0
Calabasas Library,"Calabasas, CA",California,https://www.cityofcalabasas.com/government/library,http://catalog.calabasaslibrary.org/polaris/search/default.aspx?ctx=3.1033.0.0.3&type=Default,Polaris,2012.0,Circulation Plus,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,28.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras County Library,"Calaveras County, CA",California,https://library.calaverasgov.us/,https://clvs.sirsi.net/,Symphony,2007.0,Horizon,2006.0,Dynix,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,24.0,21.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camare Memorial Library,"Calexico, CA",California,https://www.calexicolibrary.org/,https://library.calexico.k12.ca.us/,Sierra,2020.0,Millennium,2005.0,Innopac,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camarillo Public Library,"Camarillo, CA",California,https://camarillolibrary.org/,http://camarillolibrary.org,Polaris,2010.0,Horizon,2004.0,Dynix,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,12.0,8.0,0.0,20.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,12.0,8.0,0.0
Carlsbad City Library,"Carlsbad, CA",California,https://library.carlsbadca.gov/,https://cbcl.sdp.sirsi.net/,Symphony,2003.0,INLEX/3000,1987.0,,,,,Enterprise,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,43.0,42.0,32.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Harrison Memorial Library,"Carmel, CA",California,https://ci.carmel.ca.us/library,http://catalog.hm-lib.org/,Koha -- ByWater Solutions,2010.0,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,26.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,17.0,13.0,0.0
Cerritos Public LIbrary,"Cerritos, CA",California,http://menu.ci.cerritos.ca.us/,http://clio.ci.cerritos.ca.us/,Millennium,2008.0,Portfolio,2002.0,BestSeller,1994.0,Total Library System,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0,17.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,8.0,8.0,0.0
Civic Center Branch Library,"Chula Vista, CA",California,https://www.chulavistaca.gov/departments/library/,http://catalog.chulavistaca.gov/,Sierra,2014.0,Millennium,2000.0,DRA,1993.0,,,Encore,,Barcode,,,,,,ExpressLane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,15.0,0.0,0.0,16.0,0.0,0.0,1.0,63.0,44.0,28.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coalinga Huron Library District,"Coalinga, CA",California,https://chld.org/,https://sjvls.ent.sirsi.net/client/en_US/cohq,Horizon,2003.0,Dynix,1990.0,Ulisys,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,10.0,4.0,0.0,7.0,0.0,0.0,0.0,20.0,20.0,12.0,0.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0
Colton Public Library,"Colton, CA",California,https://www.ci.colton.ca.us/134/Library,http://colton.polarislibrary.com/,Polaris,2013.0,Horizon,2004.0,Dynix,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colusa County Free Library,"Colusa County, CA",California,https://www.countyofcolusa.org/24/Library,https://catalog.saclibrary.org/,Sierra,2011.0,Millennium,2002.0,None,,,,VuFind -- Pika,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,28.0,24.0,12.0,0.0,41.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,25.0,22.0,18.0,0.0
Commerce Public Library,"Commerce, CA",California,https://www.cityofcommercepubliclibrary.org/home-library,http://catalog.cocpl.org/,Symphony,1997.0,Dynix,1987.0,,,,,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,10.0,2.0,0.0,10.0,0.0,0.0,0.0,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa County Public Library,"Contra Costa County, CA",California,https://ccclib.org/,http://catalog.ccclib.org/,Carl.X,2010.0,Carl,1996.0,CLSI,1988.0,,,BiblioCore,2019.0,RFID,,AquaBrowser Library,,,,,,,,,,,,,,,,,,3M,,,,,,,,HF,,,,,,,,,,,,110.0,19.0,6.0,0.0,22.0,0.0,0.0,0.0,63.0,42.0,30.0,0.0,17.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0
Coro Public Library,"Coro, CA",California,https://www.coroca.gov/government/departments/library,http://coro.bywatersolutions.com/,Koha -- ByWater Solutions,2013.0,Symphony,2001.0,INLEX/3000,1987.0,,,,,RFID,,,,Islandora,,Express Check,,,,,,,,,,Vista Returns/Sort,,,,Bibliotheca,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corodo Public Library,"Corodo, CA",California,https://corodolibrary.org/,http://ecatalog.corodo.lib.ca.us,Sierra,2011.0,Millennium,2000.0,Innopac,1995.0,,,BiblioCore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Covi Public Library,"Covi, CA",California,https://covica.gov/library,http://cov.ent.sirsi.net/client/default,Symphony,2012.0,Dynix,1995.0,None,,,,Enterprise,,Barcode,,,,,,None,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Serramonte Main Library,"Daly City, CA",California,https://www.dalycity.org/Facilities/Facility/Details/Serramonte-Main-Library-1,https://dalycity.bibliocommons.com/,Sierra,2013.0,Dynix,1994.0,GLIS,1983.0,,,BiblioCore,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,11.0,0.0,0.0,21.0,0.0,0.0,0.0,37.0,29.0,17.0,0.0,73.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,43.0,35.0,23.0,0.0
Del Norte County Library District,"Del Norte County, CA",California,https://delnortecountylibrary.org/,http://catalog.delnortecountylibrary.org/,Koha -- ByWater Solutions,2010.0,Library.Solution,1999.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dixon Public Library,"Dixon, CA",California,https://solanolibrary.com/,http://spweb.sp.lib.ca.us,Polaris,2022.0,Carl.X,2015.0,Carl,1991.0,None,,,,,,LS2 PAC,2011.0,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,28.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Downey Public Library,"Downey, CA",California,https://www.downeylibrary.org/,http://64.60.105.88:81/ipac20/ipac.jsp?profile=dcl)#=eng,Polaris,2015.0,Horizon,2005.0,Dynix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,37.0,2.0,0.0,4.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,,,,,,,,,,,,
El Centro Public Library,"El Centro, CA",California,https://cityofelcentro.org/library/,http://catalog.eclib.org/polaris/,Polaris,2004.0,Galaxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado County Library,"El Dorado County, CA",California,https://eldoradolibrary.org/,http://eldo.ent.sirsi.net,Symphony,2003.0,Taos,2000.0,INLEX/3000,1990.0,,,Enterprise,,,,,,,,,,,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,Tech Logic,,,,,,,,,,,,,,,,,,,,48.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0,26.0,26.0,14.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
El Segundo Public Library,"El Segundo, CA",California,https://library.elsegundo.org/,http://library.elsegundo.org/search/,Sierra,2015.0,Millennium,2002.0,Innopac,1993.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escondido Public Library,"Escondido, CA",California,https://library.escondido.org/,https://escondido.librarycatalog.info/polaris/,Polaris,2019.0,Sierra,2014.0,Horizon,2002.0,Dynix,1993.0,,,RFID,,Encore,2014.0,,,,,,,,,,,,,,,,,mk Solutions,,,,,,,,,,,,,,,,,,,,53.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,36.0,36.0,28.0,0.0,20.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Folsom Public Library,"Folsom, CA",California,https://www.library.folsom.ca.us/home-library,https://librarycatalog.folsom.ca.us/Search/,Sierra,2011.0,Millennium,2008.0,,,,,VuFind -- Pika,2018.0,,,Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,23.0,20.0,16.0,0.0,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,14.0,11.0,0.0
Fresno County Public Library,"Fresno County, CA",California,https://www.fresnolibrary.org/,http://hip1.sjvls.org/ipac20/load.jsp?profile=fhq&menu=search,Horizon,2003.0,Dynix,1990.0,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,HF,,,,,,,,,,,,58.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0,41.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fullerton Public Library,"Fullerton, CA",California,https://www.cityoffullerton.com/government/library/,http://ipac.cityoffullerton.com/ipac20/ipac.jsp?profile=main,Horizon,2001.0,PLUS,1985.0,None,,,,,,RFID,,,,,,Xpress Check,,,,,,,,,,Vista Returns/Sort,,,,Bibliotheca-ITG,,,,,,,,,,,,,,,,,,,,43.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,22.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glendale Public Library,"Glendale, CA",California,https://www.glendaleca.gov/government/departments/library-arts-culture,https://glendale.iii.com,Sierra,2014.0,Horizon,2003.0,Advance,1981.0,,,BiblioCore,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,11.0,0.0,0.0,21.0,0.0,0.0,0.0,42.0,32.0,20.0,0.0,9.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glendora Library and Cultural Center,"Glendora, CA",California,https://www.cityofglendora.org/departments-services/library,http://catalog.ci.glendora.ca.us/polaris/Search/default.aspx?ctx=3.1033.0.0.1,Polaris,1999.0,PLUS,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,117.0,20.0,2.0,0.0,21.0,0.0,0.0,0.0,74.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willows Public Library,"Glenn County, CA",California,https://www.cityofwillows.org/dept/library,http://willows.northnet.bywatersolutions.com/,Koha -- ByWater Solutions,2016.0,Library.Solution,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goleta Valley Branch Library,"Goleta Valley, CA",California,https://www.goletavalleylibrary.org/home-library,http://www.blackgold.org/polaris/search/,Koha -- ByWater Solutions,2022.0,Polaris,2008.0,Carl.X,2006.0,Millennium,2000.0,Aspen Discovery -- ByWater Solutions,2021.0,,,AquaBrowser Library,,,,,,,,,,,,Dynix,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,171.0,15.0,0.0,0.0,127.0,0.0,0.0,0.0,29.0,16.0,12.0,0.0,20.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0
Hayward Public Library,"Hayward, CA",California,https://www.hayward-ca.gov/public-library,https://hayward.bibliocommons.com/,Sierra,2002.0,Innopac,1997.0,VTLS,1987.0,,,BiblioCore,2020.0,,,Encore,,,,,,,,,,,,,,,,,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,178.0,14.0,2.0,0.0,51.0,0.0,0.0,0.0,111.0,14.0,8.0,0.0,57.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,29.0,21.0,13.0,0.0
Hemet Public Library,"Hemet, CA",California,https://www.hemetca.gov/94/Library,https://hemet.ent.sirsi.net/client/en_US/default,Horizon,2004.0,Dynix,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Humboldt County Library,"Humboldt County, CA",California,https://humboldtgov.org/library,http://libcat.co.humboldt.ca.us/,Sierra,2015.0,Millennium,2001.0,PLUS,1994.0,GLIS,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,12.0,0.0,0.0,29.0,0.0,0.0,0.0,71.0,51.0,31.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntington Beach Public Library,"Huntington Beach, CA",California,https://www.huntingtonbeachca.gov/government/departments/library/,https://hbpl.ent.sirsi.net/client/en_US/default/,Horizon,2005.0,PLUS,1993.0,,,,,Enterprise,2015.0,,,,,,,liber8,,,,,,,,,,Vista Returns/Sort,,,,bibliotheca,,,,bibliotheca,,,,,,,,,,,,,,,,156.0,13.0,0.0,0.0,56.0,0.0,1.0,0.0,86.0,19.0,10.0,0.0,13.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Imperial County Free Library System,"Imperial County, CA",California,https://library.imperialcounty.org/,https://imperialcounty.biblionix.com/catalog/,Apollo,2015.0,Polaris,2006.0,Concourse,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,18.0,4.0,0.0,8.0,0.0,0.0,0.0,46.0,38.0,21.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial Public Library,"Imperial, CA",California,https://www.cityofimperial.org/public-library,http://imperial.polarislibrary.com,Polaris,2006.0,Locally developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,9.0,0.0,0.0,29.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inglewood Public Library,"Inglewood, CA",California,https://www.cityofinglewood.org/1648/Inglewood-Public-Library,https://inglewood.ent.sirsi.net/client/en_US/default,Symphony,2020.0,Polaris,2007.0,Locally developed,,,,,,Barcode,,,,,,Bibliotheca RFID Library Systems,,,,,,,,,,,,CivicPlus,,Bibliotheca RFID Library Systems,,,,Bibliotheca RFID Library Systems,,,,UHF,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Inyo County Free Library,"Inyo County, CA",California,https://www.inyocounty.us/services/library,http://inland.librarycatalog.info/polaris/Search/default.aspx?ctx=10.1033.0.0.3,Polaris,2012.0,Symphony,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,16.0,8.0,0.0,19.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Irwindale Public Library,"Irwindale, CA",California,https://www.irwindaleca.gov/121/Library,http://irpl-verso.auto-graphics.com/MVC/,VERSO,2014.0,Concourse,2006.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kern County Library,"Kern County, CA",California,https://kerncountylibrary.org/,https://sjvls.ent.sirsi.net/client/en_US/kehq,Horizon,2003.0,Dynix,1990.0,,,,,Enterprise,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,13.0,6.0,0.0,15.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0
Kings County Library,"Kings County, CA",California,https://www.kingscountylibrary.org/,http://hip1.sjvls.org/ipac20/ipac.jsp?profile=kihq,Horizon,2003.0,Dynix,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
