names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Christopher Gonzales,California 46th,House,Federal,Legislative,https://ballotpedia.org/Christopher_Gonzales,https://gonzalesforcongress.com/,gonzalesforCA46,,,Republican Party,Lost,"78,836","32,345",0.41,28.0,14.0,4.0,7.0,7,110,29,45,20,16,2019,636,52.69,14.0,,,1.0,2.0,,,7.0,1.0,,7.0,12.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,50,9,1,0,5,0,0,0,35
Scott Baugh,California 47th,House,Federal,Legislative,https://ballotpedia.org/Scott_Baugh,https://baughforcongress.com/,ScottBaughCA47,,ScottRBaugh,Republican Party,Lost,"259,268","125,509",0.484,4.0,56.0,,10.0,10,131,19,62,39,11,1507,510,56.66,19.0,,,,10.0,,,,1.0,,10.0,11.0,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,61,10,6,0,5,4,0,0,36
Stephen Houlahan,California 48th,House,Federal,Legislative,https://ballotpedia.org/Stephen_Houlahan,https://electhoulahan.com,electhoulahan,,SteveHoulahanRN,Democratic Party,Lost,"122,231","48,810",0.399,3.0,5.0,,6.0,6,66,12,10,13,31,1890,752,67.655,12.0,,,2.0,5.0,31.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,40,8,3,0,4,0,0,0,25
Brian Maryott,California 49th,House,Federal,Legislative,https://ballotpedia.org/Brian_Maryott,https://maryottforcongress.com/,brianlmaryott,,,Republican Party,Lost,"287,769","136,493",0.474,949.0,210.0,129.0,125.0,125,2119,10,1173,338,598,43930,3920,30.06504065,12.0,,,,83.0,343.0,,,,,1.0,254.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,34,6,4,0,3,0,0,0,21
Corey Gustafson,California 50th,House,Federal,Legislative,https://ballotpedia.org/Corey_Gustafson,https://www.coreyforsandiego.com/,CoreyCA50,,,Republican Party,Lost,"145,020","57,972",0.4,133.0,20.0,21.0,,7,228,1,153,21,53,2543,767,56.95428571,,,1.0,,,37.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,4,0,2,0,0,0,8
Tyler Geffeney,California 52nd,House,Federal,Legislative,https://ballotpedia.org/Tyler_Geffeney,https://tyler4congress.com/,,,,Republican Party,Lost,"81,757","29,112",0.356,2.0,2.0,1.0,30.0,30,177,81,5,67,24,6240,881,57.26333333,40.0,,,,28.0,22.0,9.0,30.0,1.0,,8.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,17,9,5,0,3,0,0,0,0
Jennifer Qualteri,Colorado 1st,House,Federal,Legislative,https://ballotpedia.org/Jennifer_Qualteri,https://jq4congressco.com/,jqualteri,,,Republican Party,Lost,"282,685","49,529",0.175,5.0,,7.0,5.0,5,198,3,5,12,178,101,31,76.56,,,,,,162.0,3.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,0,3,0,0,0,0
Marshall Dawson,Colorado 2nd,House,Federal,Legislative,https://ballotpedia.org/Marshall_Dawson,https://dawsonforcongress.com,,,,Republican Party,Lost,"248,416","70,848",0.285,18.0,7.0,2.0,14.0,14,171,105,27,36,3,4733,1016,46.40857143,19.0,,,1.0,6.0,3.0,,14.0,,,14.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,39,12,0,0,8,0,0,0,19
Adam Frisch,Colorado 3rd,House,Federal,Legislative,https://ballotpedia.org/Adam_Frisch,https://www.adamforcolorado.com/,AdamForColorado,,,Democratic Party,Lost,"327,285","163,293",0.499,29.0,171.0,3.0,20.0,56,302,45,200,33,24,1941,144,49.15054545,,,,,6.0,14.0,,,,,1.0,10.0,,2.0,39.0,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,95,12,9,0,35,2,0,0,37
Marina Zimmerman,Colorado 3rd,House,Federal,Legislative,https://ballotpedia.org/Marina_Zimmerman,https://www.marinazimmerman.com/,Marina4Colorado,,,Independent,Lost,"327,285",74,0.0,965.0,348.0,78.0,61.0,61,1836,205,1351,219,61,20603,1692,53.73786885,88.0,,1.0,,19.0,57.0,115.0,,,,61.0,,,1.0,,,4.0,,,,28.0,,,,,10.0,,,,,,,,,,,,,,,,,,,33,10,4,0,3,0,0,0,16
Isaac McCorkle,Colorado 4th,House,Federal,Legislative,https://ballotpedia.org/Ian_McCorkle,https://ike4co.com/,ike4co,,IkeMcCorkle,Democratic Party,Lost,"301,992","113,618",0.376,,512.0,108.0,112.0,112,1247,318,520,393,16,22589,3182,43.12227273,91.0,,1.0,,42.0,16.0,112.0,112.0,,,98.0,,,2.0,,,,,33.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,82,14,4,0,9,0,0,0,55
Ryan McGonigal,Colorado 4th,House,Federal,Legislative,https://ballotpedia.org/Ryan_McGonigal,https://www.ryan4congress.com/,ryan4congressco,,,American Constitution Party,Lost,"301,992","6,907",0.023,2.0,8.0,2.0,6.0,6,58,12,12,19,15,1330,549,63.22166667,12.0,,,,5.0,12.0,,,,,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,10,4,0,1,0,0,0,9
David Torres,Colorado 5th,House,Federal,Legislative,https://ballotpedia.org/David_Torres_(Colorado),https://www.davidtorres4congress.com,Cd5Torres,,DMFT4CO,Democratic Party,Lost,"277,964","111,978",0.403,72.0,23.0,2.0,1.0,1,113,11,95,3,4,1036,417,69.62,8.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,27,6,4,0,2,0,0,0,15
Eric Mulder,Colorado 6th,House,Federal,Legislative,https://ballotpedia.org/Eric_Mulder,https://mulderforco.com,MulderForCO,,AgentMulder303,Libertarian Party,Lost,"191,725","3,033",0.016,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Erik Aadland,Colorado 7th,House,Federal,Legislative,https://ballotpedia.org/Erik_Aadland,https://aadlandforcolorado.com/,AadlandforCO,,,Republican Party,Lost,"363,601","150,510",0.414,196.0,,183.0,196.0,196,774,47,197,379,151,54194,3997,56.16549738,42.0,,,,,146.0,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,79,12,0,0,11,4,0,0,52
Ross Klopf,Colorado 7th,House,Federal,Legislative,https://ballotpedia.org/Ross_Klopf,https://klopfforcongress.com/,,,KlopfRoss,Libertarian Party,Lost,"363,601","6,187",0.017,,3.0,6.0,3.0,3,139,18,3,9,109,580,202,61.33666667,,,,,,86.0,18.0,,,,,21.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Larry Lazor,Connecticut 1st,House,Federal,Legislative,https://ballotpedia.org/Larry_Lazor,https://lazorforcongress.com/,LarryLazor,,,Republican Party,Lost,"236,967","89,487",0.378,9.0,17.0,2.0,17.0,17,112,12,27,38,35,9261,2059,46.00294118,3.0,,,,2.0,35.0,6.0,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,51,10,6,0,5,0,0,0,30
Mike France,Connecticut 2nd,House,Federal,Legislative,https://ballotpedia.org/Mike_France,https://votemikefrance.com/,MikeFranceCT2,,,Republican Party,Lost,"281,284","113,435",0.403,4.0,77.0,32.0,19.0,19,242,88,83,71,0,3200,841,77.25764706,28.0,,1.0,,1.0,,19.0,19.0,,,19.0,,2.0,9.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,20,6,4,0,2,0,0,0,8
Lesley DeNardis,Connecticut 3rd,House,Federal,Legislative,https://ballotpedia.org/Lesley_DeNardis,https://lesleyforcongress.com,lesleyforct,,,Republican Party,Lost,"234,686","96,388",0.411,,,,1.0,1,9,0,3,2,4,2031,539,51.38,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0
Amy Chai,Connecticut 3rd,House,Federal,Legislative,https://ballotpedia.org/Amy_Chai,https://docchai2022.com,docchai2022,,,Independent Party,Lost,"234,686","3,908",0.017,2.0,27.0,2.0,11.0,11,134,49,51,34,0,5061,1302,71.16090909,,,,,10.0,,49.0,,2.0,11.0,11.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,1,0,2,0,0,0,1
Jayme Stevenson,Connecticut 4th,House,Federal,Legislative,https://ballotpedia.org/Jayme_Stevenson,https://jaymestevensonforcongress.com,Jayme4Congress,,,Republican Party,Lost,"230,114","94,599",0.411,120.0,204.0,6.0,51.0,51,1336,295,407,108,526,15713,2629,48.84078431,35.0,1.0,2.0,51.0,,52.0,184.0,51.0,,,51.0,473.0,22.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,9.0,,22.0,,,,,,,,273,34,2,0,42,9,1,0,185
Cody McNutt,Delaware 1st,House,Federal,Legislative,https://ballotpedia.org/Cody_McNutt,https://www.codyrmcnutt.com/,codyrmcnutt,,,Libertarian Party,Lost,"321,667","3,074",0.01,,,1.0,,4,12,0,4,4,4,120,68,43.435,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,17,10,0,0,3,0,0,0,4
Rebekah Jones,Florida 1st,House,Federal,Legislative,https://ballotpedia.org/Rebekah_Jones,https://www.rebekahjonescampaign.com/,GeoRebekah,,,Democratic Party,Lost,"289,672","93,178",0.322,2280.0,478.0,35.0,7.0,117,3066,220,2760,46,40,92281,8099,41.42327586,4.0,,,,2.0,2.0,8.0,,,2.0,2.0,7.0,,100.0,99.0,9.0,18.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,116,21,6,0,11,4,0,0,74
Alfred Lawson,Florida 2nd,House,Federal,Legislative,https://ballotpedia.org/Alfred_Lawson,https://www.allawson.com,AlLawsonJr,,,Democratic Party,Lost,"300,715","120,842",0.402,2.0,,,4.0,4,16,0,2,8,6,641,288,54.125,,,,,4.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,4,0,0,0,0,0,1
Danielle Hawk,Florida 3rd,House,Federal,Legislative,https://ballotpedia.org/Danielle_Hawk,https://www.daniellehawk.com/,HawkforCongress,,,Democratic Party,Lost,"284,658","103,254",0.363,1.0,15.0,,2.0,5,26,1,16,6,3,1563,695,51.854,1.0,,,,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,7,0,0,5,0,0,0,32
Linda Brooks,Florida 3rd,House,Federal,Legislative,https://ballotpedia.org/Linda_Brooks_(Florida),https://linda-brooks.com,LindaSBrooks1,,,No Party Affiliation,Lost,"284,658","3,405",0.012,13.0,,1.0,4.0,4,128,10,13,5,100,5800,1069,22.2175,,,,,,82.0,10.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
LaShonda Holloway,Florida 4th,House,Federal,Legislative,https://ballotpedia.org/L.J._Holloway,https://ljhollowayforcongress.com/,LJ4Congress,,LJHolloway,Democratic Party,Lost,"274,103","108,402",0.395,34.0,39.0,,8.0,8,101,8,76,16,1,1426,389,57.74375,,,,,,,1.0,7.0,,,8.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0,0,0,0,0,0,0,0,0
Gary Koniz,Florida 4th,House,Federal,Legislative,https://ballotpedia.org/Gary_Koniz,https://www.garykonizforcongress.com/,,,,No Party Affiliation,Lost,"274,103",5,0.0,1.0,,,1.0,1,5,0,2,3,0,68,57,32.29,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Karen Green,Florida 7th,House,Federal,Legislative,https://ballotpedia.org/Karen_Green_(Florida),https://karengreenforflorida.com/,KarenforFlorida,,drkarengreen,Democratic Party,Lost,"304,055","126,079",0.415,22.0,18.0,,,1,47,5,40,1,1,111,75,49.15,,,,,1.0,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Joanne Terry,Florida 8th,House,Federal,Legislative,https://ballotpedia.org/Joanne_Terry,https://www.joanneterry.com/,Joanne4Congress,,,Democratic Party,Lost,"341,883","119,917",0.351,52.0,4.0,4.0,25.0,25,138,2,59,58,19,1100,161,73.0684,,,,,4.0,,2.0,,3.0,,25.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,0,0,7,0,0,0,8
Scotty Moore,Florida 9th,House,Federal,Legislative,https://ballotpedia.org/Scotty_Moore,https://www.scottymooreforcongress.com/,ScottyMoore4FL,,,Republican Party,Lost,"202,137","93,739",0.464,,44.0,1.0,,27,210,2,100,14,94,4846,1050,38.43076923,2.0,10.0,,,13.0,39.0,,,,,,49.0,15.0,,,,,,,,4.0,,,,,27.0,,,,,,,,,,,,6.0,,,,,,,161,29,3,0,7,4,0,0,118
Calvin Wimbish,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Calvin_Wimbish,https://votecal2022.org/,cbwimbish,,,Republican Party,Lost,"199,614","78,762",0.395,,32.0,5.0,32.0,32,1935,97,39,48,1751,2313,667,54.09586207,8.0,,,,5.0,1686.0,46.0,,,,3.0,65.0,1.0,43.0,,,,,,,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,39,12,2,0,6,0,0,0,19
Jason Holic,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Jason_Holic,https://www.jasonholic.com/,HolicCongress,,jholic,No Party Affiliation,Lost,"199,614","1,998",0.01,4.0,,2.0,6.0,6,147,6,4,23,114,1725,505,62.83333333,,,,,3.0,114.0,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,17,4,1,0,4,0,0,0,8
Usha Jain,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Usha_Jain,https://electdoctorjain.com/,,,DRUSHAJAIN,No Party Affiliation,Lost,"199,614","1,109",0.006,,58.0,,657.0,657,938,1,260,657,20,996026,2751,58.33059451,,,,,,19.0,,,,,,1.0,177.0,,,,,,,,,,,,25.0,,,,,,,,,,,,1.0,,,,,,,,32,10,6,0,2,0,0,0,14
Shante Munns,Florida 11th,House,Federal,Legislative,https://ballotpedia.org/Shante_Munns,https://voteforshante.com/,ShanteMunns,,,Democratic Party,Lost,"325,921","115,382",0.354,42.0,,6.0,16.0,16,120,36,42,38,4,6440,825,43.77125,36.0,,,,,,,,,,16.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Kimberly Walker,Florida 12th,House,Federal,Legislative,https://ballotpedia.org/Kimberly_Walker,https://kimberlyforcongress.com/,kw4congress,,,Democratic Party,Lost,"321,995","95,390",0.296,16.0,10.0,10.0,10.0,10,118,41,33,40,4,5897,1626,53.67,22.0,,,,10.0,4.0,19.0,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,66,6,0,0,8,10,0,0,42
Eric Lynn,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Eric_Lynn,https://www.ericlynnforcongress.com/,EricLynnFL,,,Democratic Party,Lost,"341,546","153,876",0.451,1.0,6.0,,1.0,1,46,3,8,1,34,436,231,58.86,,,,,,5.0,1.0,,,,,29.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,26,5,3,0,6,0,0,0,12
Dwight Young,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Dwight_Young,https://dwightyoungforcongress.com/,dy4congress,,,No Party Affiliation,Lost,"341,546",17,0.0,118.0,3.0,33.0,31.0,31,274,45,121,105,3,8595,1439,56.21677419,2.0,,,,10.0,,10.0,31.0,,,31.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9,5,0,2,0,0,0,13
Jacob Curnow,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Jacob_Curnow,https://jacobcurnowforcongress.weebly.com/,,,RealJacobCurnow,No Party Affiliation,Lost,"341,546",3,0.0,2.0,1.0,,1.0,1,10,2,3,3,2,2180,847,42.14,,,,,1.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,0,0,8,0,0,0,9
James Judge,Florida 14th,House,Federal,Legislative,https://ballotpedia.org/James_Judge,https://judgeforcongress.com/,jamespjudge,,,Republican Party,Lost,"262,844","113,291",0.431,1840.0,609.0,57.0,68.0,68,2953,142,2451,206,154,62423,3120,47.63897059,76.0,,,,3.0,134.0,66.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,20.0,,67.0,,,,,36,11,6,0,7,0,0,0,12
Jan Schneider,Florida 16th,House,Federal,Legislative,https://ballotpedia.org/Jan_Schneider,https://votejan.com/,,,,Democratic Party,Lost,"305,358","115,575",0.378,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Leonard Serratore,Florida 18th,House,Federal,Legislative,https://ballotpedia.org/Leonard_Serratore,https://www.electleonardserratore.com/,LennySerratore,,,No Party Affiliation,Lost,"224,234",158,0.001,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Cindy Banyai,Florida 19th,House,Federal,Legislative,https://ballotpedia.org/Cindy_Banyai,https://www.cindybanyai.com/,Cindy_Banyai_FL,,,Democratic Party,Lost,"313,274","100,226",0.32,451.0,604.0,387.0,9.0,195,1915,289,1055,427,144,65516,5913,58.88764103,,,,,31.0,80.0,,,,,,43.0,,165.0,118.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,22,2,0,9,0,0,0,68
Patrick Post,Florida 19th,House,Federal,Legislative,https://ballotpedia.org/Patrick_Post,https://www.patrickpostforcongress2022.com/,,,,No Party Affiliation,Lost,"313,274",13,0.0,14.0,44.0,,20.0,20,137,13,58,60,6,2824,658,2.877,,,,,20.0,,13.0,,,,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0
Drew-Montez Clark,Florida 20th,House,Federal,Legislative,https://ballotpedia.org/Drew-Montez_Clark,https://drewmontezclark.com/,drewmontezclark,,,Republican Party,Lost,"187,846","52,057",0.277,37.0,6.0,4.0,6.0,6,111,12,50,14,35,2132,749,29.25166667,,,,,4.0,23.0,6.0,,,,,6.0,2.0,6.0,,,6.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,81,13,8,1,6,4,0,0,49
Corinna Robinson,Florida 21st,House,Federal,Legislative,https://ballotpedia.org/Corinna_Robinson,https://www.corinnaforflorida.us/,CorinnaRobinson,,,Democratic Party,Lost,"328,120","119,712",0.365,47.0,,14.0,,28,149,62,47,23,17,4923,1221,53.05321429,1.0,,,,9.0,,,,,,,2.0,,25.0,34.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,13,1,0,5,0,0,0,27
Dan Franzese,Florida 22nd,House,Federal,Legislative,https://ballotpedia.org/Dan_Franzese,https://danforfl.com/,danforfl,,,Republican Party,Lost,"271,730","122,038",0.449,120.0,357.0,,,36,570,0,480,18,72,20538,2145,51.70055556,,,,,18.0,72.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,18,3,0,6,0,0,0,90
Christine Scott,Florida 23rd,House,Federal,Legislative,https://ballotpedia.org/Christine_Scott,https://christinescottforcongress2022.wordpress.com/,,,,No Party Affiliation,Lost,"277,046","3,046",0.011,60.0,,97.0,109.0,109,423,23,64,217,119,28513,2389,59.2266055,1.0,,,4.0,11.0,118.0,,11.0,,,,1.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,216,5,4,0,93,0,0,0,114
Mark Napier,Florida 23rd,House,Federal,Legislative,https://ballotpedia.org/Mark_Napier_(Florida),https://www.napierforcongress2022.org/,Napier2022,,,No Party Affiliation,Lost,"277,046","1,326",0.005,54.0,6.0,13.0,,8,89,4,68,14,3,7135,2051,46.44875,,,,,1.0,3.0,,,,,,,,,3.0,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,86,18,1,0,8,4,0,0,55
Jesus G. Navarro,Florida 24th,House,Federal,Legislative,https://ballotpedia.org/Jesus_Navarro,https://www.jesusgnavarro.com/,Jesus_G_Navarro,,,Republican Party,Lost,"185,765","52,413",0.282,1.0,6.0,,,1,8,0,7,0,1,679,327,46.37,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,15,0,0,7,0,0,0,26
Carla Spalding,Florida 25th,House,Federal,Legislative,https://ballotpedia.org/Carla_Spalding,https://carlaspaldingforcongress.com/,CarlaSpaldingFL,,,Republican Party,Lost,"233,499","104,819",0.449,,,3.0,1.0,1,115,14,0,5,96,1126,527,51.18,,,,,,86.0,10.0,,,,,9.0,,4.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,25,6,0,0,10,0,0,0,9
Christine Alexandria Olivo,Florida 26th,House,Federal,Legislative,https://ballotpedia.org/Christine_Alexandria_Olivo,https://www.christineforcongress.org/,ChristineforFL,,,Democratic Party,Lost,"201,982","58,794",0.291,55.0,,4.0,,5,76,11,55,9,1,761,276,63.298,1.0,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,52,13,0,0,5,0,0,0,34
Wade Herring,Georgia 1st,House,Federal,Legislative,https://ballotpedia.org/Wade_Herring,https://www.wadeherringforcongress.com/,wadeherringga1,,,Democratic Party,Lost,"263,674","107,659",0.408,155.0,,1.0,,12,235,2,171,12,50,961,366,78.05,,,,,11.0,46.0,,,,,,4.0,1.0,,,,,,,,3.0,,,,,12.0,,1.0,,,,,,,,1.0,,,,,,,,,57,21,2,0,10,0,0,0,24
Chris West,Georgia 2nd,House,Federal,Legislative,https://ballotpedia.org/Chris_West_(Georgia),https://chriswestga.com/,ChrisWestGA,,,Republican Party,Lost,"240,516","108,267",0.45,123.0,84.0,2.0,,21,278,4,213,2,59,6753,1453,63.89666667,4.0,,,,,59.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,73,11,5,0,7,0,0,0,50
Val Almonord,Georgia 3rd,House,Federal,Legislative,https://ballotpedia.org/Val_Almonord,https://almonordforcongress.com/,valforcongress3,,,Democratic Party,Lost,"310,241","96,788",0.312,65.0,78.0,10.0,8.0,8,185,0,158,27,0,2477,503,43.57125,,,,,1.0,,,,,,8.0,,4.0,,,,,,,,2.0,,,,,,,,,9.0,,,,,,,,,,,,,,,37,10,0,0,4,3,0,0,20
Christian Zimm,Georgia 5th,House,Federal,Legislative,https://ballotpedia.org/Christian_Zimm,https://www.christianzimm.com,ChristianZimm_,,,Republican Party,Lost,"294,298","51,594",0.175,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Bob Christian,Georgia 6th,House,Federal,Legislative,https://ballotpedia.org/Bob_Christian,https://christianforga6.com/,ChristianForGA6,,,Democratic Party,Lost,"324,768","122,053",0.376,44.0,1.0,4.0,17.0,17,365,35,47,45,238,3626,1001,59.07235294,18.0,,,,7.0,,,17.0,1.0,,17.0,238.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,17,2,0,6,0,0,0,58
Mark Gonsalves,Georgia 7th,House,Federal,Legislative,https://ballotpedia.org/Mark_Gonsalves,https://markforgeorgia.com,MarkCongressGA7,,,Republican Party,Lost,"234,339","91,262",0.389,8.0,9.0,,2.0,2,42,7,18,5,12,371,169,71.515,5.0,1.0,1.0,,,12.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,38,10,2,0,4,0,0,0,22
Darrius Butler,Georgia 8th,House,Federal,Legislative,https://ballotpedia.org/Darrius_Butler,https://www.darriusbutler.com/,revdbutler,,,Democratic Party,Lost,"260,293","81,733",0.314,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Tabitha Johnson-Green,Georgia 10th,House,Federal,Legislative,https://ballotpedia.org/Tabitha_Johnson-Green,https://www.tabithaforcongress.com/,Tabitha57363624,,,Democratic Party,Lost,"307,487","109,074",0.355,3.0,20.0,1.0,11.0,13,36,1,23,12,0,2701,917,52.73076923,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Antonio Daza,Georgia 11th,House,Federal,Legislative,https://ballotpedia.org/Antonio_Daza,https://votedaza.com/,VoteDaza2022,,AntonioDaza,Democratic Party,Lost,"302,138","112,722",0.373,,,3.0,3.0,3,57,1,0,6,50,145,86,75.605,,,,,,43.0,1.0,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,0,0,6,0,0,0,6
Liz Johnson,Georgia 12th,House,Federal,Legislative,https://ballotpedia.org/Liz_Johnson_(Georgia),https://www.lizjohnsonforus.com/,lizjohnsonforus,,,Democratic Party,Lost,"265,015","107,079",0.404,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
