names,county,state,candidate_page,electoral_position,electoral_branch,electoral_level,area,campaign_website_url,camp_hand,off_hand,per_hand,party,location,error-type_link-name,error-type_heading-order,error-type_aria-allowed-role,error-type_image-alt,error-type_checkboxgroup,error-type_label,error-type_landmark-one-main,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_color-contrast,error-type_document-title,error-type_page-has-heading-one,error-type_object-alt,error-type_frame-title,error-type_empty-heading,error-type_duplicate-id,error-type_aria-valid-attr-value,error-type_meta-viewport,error-type_landmark-no-duplicate-banner,error-type_tabindex,error-type_html-has-lang,error-type_landmark-no-duplicate-contentinfo,error-type_bypass,error-type_skip-link,error-type_frame-title-unique,error-type_list,error-type_button-name,error-type_label-title-only,error-type_duplicate-id-active,error-type_radiogroup,error-type_duplicate-id-aria,error-type_aria-valid-attr,error-type_landmark-banner-is-top-level,error-type_landmark-main-is-top-level,error-type_aria-required-children,error-type_listitem,error-type_input-image-alt,error-type_autocomplete-valid,error-type_aria-allowed-attr
Brian Estes,Lee,North Carolina,"https://ballotpedia.org/Brian_Estes_(Lee_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.brianestesforsheriff.com,,,,Republican Party,"Lee, North Carolina",1,3,4,47,,,,4,4,64,47,1,9,7,792,302,-10.315,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Jamie Lineberger,Lincoln,North Carolina,"https://ballotpedia.org/Jamie_Lineberger_(Lincoln_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://jamielineberger.com,,,,Republican Party,"Lincoln, North Carolina",,1,,,,8,7,7,7,46,15,13,18,0,817,287,74.68142857,13,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,
Shawna Thun Lamb,Macon,North Carolina,"https://ballotpedia.org/Shawna_Thun_Lamb_(Macon_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://shawnaforclerk.wordpress.com,,,,Republican Party,"Macon, North Carolina",,1,32,,,7,,6,11,67,14,6,13,34,1290,338,59.25818182,4,1,6,,,,2,1,1,,,,,,,,,5,1,,,,,,,,,,,
Brent Holbrooks,Macon,North Carolina,"https://ballotpedia.org/Brent_Holbrooks_(Macon_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://holbrooksforsheriff.com,,,,Republican Party,"Macon, North Carolina",,7,,,,6,3,3,3,72,9,27,15,21,690,298,35.52333333,27,,2,,,3,18,,3,,,,,,,,,,,,,,,,,,,,,
Vickie Ann Hollifield,Madison,North Carolina,"https://ballotpedia.org/Vickie_Ann_Hollifield_(Madison_County_Board_of_Education_District_1,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,District 1,https://vickiehollifieldformcs.org,,,,Republican Party,"Madison, North Carolina",,7,86,10,,,,4,4,126,11,0,11,104,897,311,60.9125,,,,,,,18,,,,,,,,,,,1,,,,,,,,,,,,
Ted Bell,McDowell,North Carolina,"https://ballotpedia.org/Ted_Bell_(North_Carolina_41st_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.tedbellforda.com/,,,,Republican Party,"McDowell, North Carolina",68,24,,10,,108,41,41,41,387,125,152,109,1,10044,1729,53.26175,83,,3,,,1,,,,,,,,1,,,,,,,7,,,,,,,,,
Steven Hair,Montgomery,North Carolina,"https://ballotpedia.org/Steven_Hair_(Montgomery_County_Board_of_Commissioners_At-Large,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,At-Large,http://electstevehair.com,,,,Republican Party,"Montgomery, North Carolina",,,,5,,,1,1,1,10,5,2,3,0,33,26,80.28,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Pete Herron,Montgomery,North Carolina,"https://ballotpedia.org/Pete_Herron_(Montgomery_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.peteforsheriff.com,,,,Republican Party,"Montgomery, North Carolina",32,,15,16,2,35,6,6,6,237,55,125,12,45,2360,686,57.05666667,58,,,,,17,13,2,,,,,,,,,,,35,,,,,,,,,,,
Jim Von Canon,Moore,North Carolina,"https://ballotpedia.org/Jim_Von_Canon_(Moore_County_Board_of_Commissioners_District_I,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.jimvoncanon4commissioner.com,,,,Republican Party,"Moore, North Carolina",7,,,,1,2,,6,6,23,3,13,7,0,360,73,52.36666667,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Maness,Moore,North Carolina,"https://ballotpedia.org/Todd_Maness_(Moore_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://www.maness4clerk.com,,,,Republican Party,"Moore, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
William (Bill) Britton,Moore,North Carolina,"https://ballotpedia.org/William_(Bill)_Britton_(Moore_County_Register_of_Deeds,_North_Carolina,_candidate_2022)",County Register of Deeds,Executive,County,,https://electbritton.com,,,,Republican Party,"Moore, North Carolina",,7,175,7,,,,5,5,220,11,0,17,192,1330,298,57.736,,,,,,,17,,,,,,,,,,,4,,,,,,5,,,,,,
Ronnie Fields,Moore,North Carolina,"https://ballotpedia.org/Ronnie_Fields_(Moore_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.fields2022.com,,,,Republican Party,"Moore, North Carolina",,2,2,,,,,,2,8,0,4,2,2,50,22,73.76,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,
David Brake,Nash,North Carolina,"https://ballotpedia.org/David_Brake_(Nash_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://davidbrakeforsheriff.com,,,,Democratic Party,"Nash, North Carolina",18,,,,,1,1,1,1,26,2,19,3,2,97,70,64.07,1,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,
Jeffrey A. Marsigli,Nash,North Carolina,"https://ballotpedia.org/Jeffrey_A._Marsigli_(North_Carolina_8th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://marsigliforda.com,,,,Republican Party,"Nash, North Carolina",5,1,,,,,,,1,13,0,9,2,2,54,41,44.75,4,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Travis C. Robinson,New Hanover,North Carolina,"https://ballotpedia.org/Travis_C._Robinson_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electtravisrobinson.net,,,,Democratic Party,"New Hanover, North Carolina",,,,,,,1,1,1,5,1,2,2,0,108,78,55.95,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Rob Zapple,New Hanover,North Carolina,"https://ballotpedia.org/Rob_Zapple_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electrobzapple.com,,,,Democratic Party,"New Hanover, North Carolina",11,,12,,,,,,12,45,0,28,5,12,2513,633,50.84833333,,,5,,1,,,,,,12,,,,,,,,,4,,,,,,,,,,
LeAnn Pierce,New Hanover,North Carolina,"https://ballotpedia.org/LeAnn_Pierce_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electleannpierce.com,LeAnnPierce14,,,Republican Party,"New Hanover, North Carolina",8,1,,,,,2,,4,41,1,22,9,9,1655,605,8.575,14,,4,,,,9,,,,,,,,,,,,,,,,,,2,1,,,,
Tom Toby,New Hanover,North Carolina,"https://ballotpedia.org/Tom_Toby_(New_Hanover_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.tomtobyfornhc.com,,,,Republican Party,"New Hanover, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Josie Barnhart,New Hanover,North Carolina,"https://ballotpedia.org/Josie_Barnhart_(New_Hanover_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://josieforschools.com,,,,Republican Party,"New Hanover, North Carolina",2,9,6,,,155,48,48,48,761,203,432,118,8,20944,2409,53.21645833,261,,13,,1,2,,,48,,168,,,,,,,,,,,,,,,,,,,
Pat Bradford,New Hanover,North Carolina,"https://ballotpedia.org/Pat_Bradford_(New_Hanover_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://www.electpatbradford.com,Patwbm7,,,Republican Party,"New Hanover, North Carolina",,,,,,,10,10,10,30,0,10,20,0,134,34,13.64,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
Chris Thomas,Onslow,North Carolina,"https://ballotpedia.org/Chris_Thomas_(Onslow_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://christhomas4sheriff.com/,,,,Republican Party,"Onslow, North Carolina",5,1,,5,,,5,5,5,28,5,7,11,5,1060,380,54.248,1,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Nieman,Orange,North Carolina,"https://ballotpedia.org/Jeff_Nieman_(North_Carolina_18th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://jeffnieman.com/,JeffNiemanNC,,,Democratic Party,"Orange, North Carolina",3,9,120,,,15,,25,25,284,50,54,44,136,7455,1374,70.2848,51,,10,,,,16,10,10,,,,,,,,,15,,,,,,,,,,,,
Robin Atkins Wierzbicki,Polk,North Carolina,"https://ballotpedia.org/Robin_Atkins_Wierzbicki_(Polk_County_Board_of_Education_Saluda_Township,_North_Carolina,_candidate_2022)",County Board of Education Saluda Township,Executive,County,,https://votelocalmatters.org,,,,Nonpartisan,"Polk, North Carolina",,,,,,,1,,1,4,0,2,2,0,0,0,206.84,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Andrew Murray,Polk,North Carolina,"https://ballotpedia.org/Andrew_Murray_(North_Carolina_42nd_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.andrewmurrayda.com/,,,,Republican Party,"Polk, North Carolina",,2,,,,4,,,2,8,4,2,2,0,1335,467,43.445,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pam Hill,Randolph,North Carolina,"https://ballotpedia.org/Pam_Hill_(Randolph_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://pamhillclerkofcourt.com/,,,,Republican Party,"Randolph, North Carolina",,6,212,20,,2,,,6,278,22,0,6,250,1477,516,-78.97166667,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,
Greg Seabolt,Randolph,North Carolina,"https://ballotpedia.org/Greg_Seabolt_(Randolph_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://gregseaboltforsheriff.com,,,,Republican Party,"Randolph, North Carolina",124,6,,7,,192,46,46,43,493,189,172,126,6,11206,1026,-9.732380952,35,,37,,,6,,,,,,15,,3,,,,,,,,,,,,,,,,
Rick Watkins,Richmond,North Carolina,"https://ballotpedia.org/Rick_Watkins_(Richmond_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://www.votewatkinsnow.com/,VoteWatkinsNow,,,Republican Party,"Richmond, North Carolina",26,,,9,,,6,6,6,64,9,36,18,1,724,295,-58.948,,,6,,4,1,,,,,,6,,,,,,,,,,,,,,,,,,
Charlie Hall,Rockingham,North Carolina,"https://ballotpedia.org/Charlie_Hall_(Rockingham_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://charliehallforcommissioner.com/,,,,Republican Party,"Rockingham, North Carolina",,,17,,,,,,7,78,0,54,7,17,488,146,62.17833333,52,1,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,
Judy Klusman,Rowan,North Carolina,"https://ballotpedia.org/Judy_Klusman_(Rowan_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://voteklusman.com/,,,,Republican Party,"Rowan, North Carolina",,,10,,,,5,5,5,53,0,22,16,15,2488,633,29.442,16,,1,,,,5,,,5,,,,,,,1,,,,,,,,,,5,,,
Carlton Killian,Rowan,North Carolina,"https://ballotpedia.org/Carlton_Killian_(Rowan_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,http://killianforsheriff.com/,,,,Democratic Party,"Rowan, North Carolina",2,1,,3,,1,2,2,2,18,6,6,6,0,3805,848,0.52,1,1,1,,,,,,1,,,2,,,,,,,,,,,,,,,,1,,
Ted Bell,Rutherford,North Carolina,"https://ballotpedia.org/Ted_Bell_(North_Carolina_41st_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.tedbellforda.com/,,,,Republican Party,"Rutherford, North Carolina",68,24,,10,,108,41,41,41,387,125,152,109,1,10044,1729,53.26175,83,,3,,,1,,,,,,,,1,,,,,,,7,,,,,,,,,
Brandon King,Stanly,North Carolina,"https://ballotpedia.org/Brandon_King_(Stanly_County_Board_of_Commissioners_District_3,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 3,https://www.electbrandonking.com/,,,,Republican Party,"Stanly, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Ginger Efird,Stanly,North Carolina,"https://ballotpedia.org/Ginger_Efird_(Stanly_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://www.votegingerefird.com/,,,,Republican Party,"Stanly, North Carolina",1,1,1,,,3,1,1,1,19,3,12,3,1,865,383,39.26,8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Rick Morris,Stokes,North Carolina,"https://ballotpedia.org/Rick_Morris_(Stokes_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://rickmorriscommissioner.com/,,,,Republican Party,"Stokes, North Carolina",,1,,5,,,3,3,3,14,5,2,7,0,2262,711,36.95333333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Wood,Stokes,North Carolina,"https://ballotpedia.org/Keith_Wood_(Stokes_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://rkeithwood.com/,,,,Republican Party,"Stokes, North Carolina",,4,90,3,,,,3,3,111,3,0,7,101,554,239,55.66666667,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
Brad Lankford,Stokes,North Carolina,"https://ballotpedia.org/Brad_Lankford_(Stokes_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://bradlankfordforclerk.com/,,,,Republican Party,"Stokes, North Carolina",,10,227,25,,,,7,7,289,25,0,17,247,6568,1548,49.01714286,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,
Joey Lemons,Stokes,North Carolina,"https://ballotpedia.org/Joey_Lemons_(Stokes_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.joeylemons.com/,,,,Republican Party,"Stokes, North Carolina",,1,12,,,,,,5,34,0,19,3,12,383,208,58.394,13,,2,,1,,,,,,5,,,,,,,,,,,,,,,,,,,
Chuck Owenby,Transylvania,North Carolina,"https://ballotpedia.org/Chuck_Owenby_(Transylvania_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://chuckowenbyforsheriff.com/,,,,Republican Party,"Transylvania, North Carolina",6,,1,,,,6,6,6,50,0,33,14,3,939,337,41.20666667,26,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Murray,Transylvania,North Carolina,"https://ballotpedia.org/Andrew_Murray_(North_Carolina_42nd_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.andrewmurrayda.com/,,,,Republican Party,"Transylvania, North Carolina",,2,,,,4,,,2,8,4,2,2,0,1335,467,43.445,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gina Palandri,Union,North Carolina,"https://ballotpedia.org/Gina_Palandri_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.ginaforunioncountycommissioner.com,GinaforUnion,,,Democratic Party,"Union, North Carolina",,,,,,,1,1,1,5,0,3,2,0,11,11,32.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian W. Helms,Union,North Carolina,"https://ballotpedia.org/Brian_W._Helms_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.brianhelmsforbocc.com/,,,,Republican Party,"Union, North Carolina",16,1,,10,,86,16,16,16,184,103,44,36,1,3550,633,24.415,23,,3,,2,1,,,,,,,,3,,,,,,,7,,,,,,,,,
Melissa Merrell,Union,North Carolina,"https://ballotpedia.org/Melissa_Merrell_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.merrellforbocc.com/,,,,Republican Party,"Union, North Carolina",17,5,,1,,15,15,15,15,97,16,46,35,0,3368,942,31.12,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Rushing,Union,North Carolina,"https://ballotpedia.org/Stony_Rushing_(Union_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,http://stonyrushing.com,,,,Republican Party,"Union, North Carolina",,,,50,,,4,4,4,95,50,17,12,16,797,377,44.12333333,15,,4,,2,,16,,,,,,,,,,,,,,,,,,,,,,,
Wendy Maynard,Union,North Carolina,"https://ballotpedia.org/Wendy_Maynard_(Union_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://votewendymaynard.com/,,,,Republican Party,"Union, North Carolina",1,1,1,,1,7,1,1,1,30,8,16,3,3,38,30,69.11,8,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,
Angela Laws King,Watauga,North Carolina,"https://ballotpedia.org/Angela_Laws_King_(Watauga_County_Board_of_Commissioners_District_1,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 1,https://www.angela4watauga.com,,,,Democratic Party,"Watauga, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Jeffrey A. Marsigli,Wilson,North Carolina,"https://ballotpedia.org/Jeffrey_A._Marsigli_(North_Carolina_8th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://marsigliforda.com,,,,Republican Party,"Wilson, North Carolina",5,1,,,,,,,1,13,0,9,2,2,54,41,44.75,4,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Gray-Lobe,Clay,South Dakota,"https://ballotpedia.org/Geoffrey_Gray-Lobe_(Clay_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://graylobeforclaycounty.org/,,,,Democratic Party,"Clay, South Dakota",,,11,,,,,,5,35,0,7,5,23,826,414,53.45,,,5,,,1,11,,,,5,,,,,,,,,,,,,,,,,,2,
D. Lee Gabel,Codington,South Dakota,"https://ballotpedia.org/D._Lee_Gabel_(Codington_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://www.voteleegabel.org,,,,Republican Party,"Codington, South Dakota",1,,174,6,,,,7,7,215,13,9,19,174,1539,505,-13.15857143,8,,5,,,,,,,7,,,,,,,,,,,,,,,,,,,,7
Tiffani Landeen,Lincoln,South Dakota,"https://ballotpedia.org/Tiffani_Landeen_(Lincoln_County_Commissioner,_District_3,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 3,https://tiffanilandeen.com/,,,,Republican Party,"Lincoln, South Dakota",3,4,45,5,,,,3,3,70,5,3,7,55,2720,697,26.66666667,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
Gary Deering,Meade,South Dakota,"https://ballotpedia.org/Gary_Deering_(Meade_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://voteforgarydeering.com/,,,,Republican Party,"Meade, South Dakota",,,1,,,,1,1,1,7,0,3,3,1,145,94,67.42,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat West,Meade,South Dakota,"https://ballotpedia.org/Pat_West_(Meade_County_Sheriff,_South_Dakota,_candidate_2022)",County Sheriff,Executive,County,,http://www.patwestforsheriff.com/,,,,Republican Party,"Meade, South Dakota",11,,,,,,6,5,6,50,4,29,17,0,1237,416,78.145,2,,6,,,,,,,,10,,,6,,,,2,,,,,,,,,,,,2
Robin Lynn Shrake,Meade,South Dakota,"https://ballotpedia.org/Robin_Lynn_Shrake_(Meade_County_Treasurer,_South_Dakota,_candidate_2022)",County Treasurer,Executive,County,,https://shrakeformeadecountytreasurer.com/,,,,Republican Party,"Meade, South Dakota",175,47,,,,56,2,2,23,713,88,551,74,0,8089,603,55.12478261,349,,23,,,,,,,,27,,,,,,,32,,,,,,,,,,,,
Leah Anderson,Minnehaha,South Dakota,"https://ballotpedia.org/Leah_Anderson_(Minnehaha_County_Auditor,_South_Dakota,_candidate_2022)",County Auditor,Legislative,County,,https://www.leahforauditor.com/,,,,Republican Party,"Minnehaha, South Dakota",,,,,,,1,,1,4,0,2,2,0,0,0,206.84,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Nichole Cauwels,Minnehaha,South Dakota,"https://ballotpedia.org/Nichole_Cauwels_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://cauwelsforcommission.com/,Cauwels4mcc,,,Democratic Party,"Minnehaha, South Dakota",,,5,,,,,,5,15,0,5,5,5,892,418,63.534,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Tom Holmes,Minnehaha,South Dakota,"https://ballotpedia.org/Tom_Holmes_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://tomforcountycommission.com/,,,,Democratic Party,"Minnehaha, South Dakota",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jen Bleyenberg,Minnehaha,South Dakota,"https://ballotpedia.org/Jen_Bleyenberg_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://www.votejenb.com/,,,,Republican Party,"Minnehaha, South Dakota",2,,,,1,1,,,5,9,2,6,1,0,1786,598,53.09,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Kippley,Minnehaha,South Dakota,"https://ballotpedia.org/Joe_Kippley_(Minnehaha_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://joekippley.com/,,,,Republican Party,"Minnehaha, South Dakota",12,1,46,,1,7,4,10,10,256,8,157,24,67,2841,716,59.08,141,,5,,1,,21,,,,,,,,4,,,,2,1,,,,,,,,,,
Ron Rossknecht,Pennington,South Dakota,"https://ballotpedia.org/Ron_Rossknecht_(Pennington_County_Commissioner,_District_1,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://ronrossknecht.com/,,,,Republican Party,"Pennington, South Dakota",,1,25,,,2,2,10,10,91,2,47,17,25,1782,603,61.824,45,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,
John R. Marquardt,Yankton,South Dakota,"https://ballotpedia.org/John_R._Marquardt_(Yankton_County_Commissioner,_At_Large,_South_Dakota,_candidate_2022)",County Commissioner,Legislative,County,At Large,https://electjohnmarquardt.com/,,,,Republican Party,"Yankton, South Dakota",,1,12,,,,,3,3,21,0,3,6,12,1377,503,45.57,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston Crissey,Yankton,South Dakota,"https://ballotpedia.org/Preston_Crissey_(Yankton_County_Sheriff,_South_Dakota,_candidate_2022)",County Sheriff,Executive,County,,https://www.crissey4sheriff.com/,,,,Republican Party,"Yankton, South Dakota",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Todd A. Cimino-Johnson,Loudoun,Virginia,"https://ballotpedia.org/Todd_A._Cimino-Johnson_(Leesburg_Town_Council,_Virginia,_candidate_2022)",Council,Legislative,City,,https://www.toddforleesburg.com/,,,,Independent,"Loudoun, Virginia",,16,18,,,1,,,18,65,1,25,20,19,4214,1044,52.33722222,,,4,,,,1,,,,18,,,,,,,,,7,,,,,,,,,,
Neil R. Steinberg,Loudoun,Virginia,"https://ballotpedia.org/Neil_R._Steinberg_(Leesburg_Town_Council,_Virginia,_candidate_2022)",Council,Legislative,City,,http://www.forsteinberg.com,,,,Independent,"Loudoun, Virginia",,,,,,,,1,1,23,1,18,4,0,175,98,74.63,18,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,
C. B. Burk,Loudoun,Virginia,"https://ballotpedia.org/C._B._Burk_(Mayor_of_Leesburg,_Virginia,_candidate_2022)",Mayor,Executive,City,,http://www.kellyburkformayor.com,,,,Independent,"Loudoun, Virginia",,40,38,,,,,,38,190,0,108,44,38,4147,851,31.19105263,1,,4,,,,,,,,38,,,,,,,,,69,,,,,,,,,,
Frank B. Wright,Lynchburg,Virginia,"https://ballotpedia.org/Frank_B._Wright_(Lynchburg_City_Council,_At_Large,_Virginia,_candidate_2022)",City Council,Legislative,City,At Large,https://www.wrightforlynchburg.com,,,,Independent,"Lynchburg, Virginia",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Curtis D. Bethany III,Newport News,Virginia,"https://ballotpedia.org/Curtis_D._Bethany_III_(Newport_News_City_Council,_Seat_B,_Virginia,_candidate_2022)",City Council,Legislative,City,,https://curtisbethany3.com/,,,,Independent,"Newport News, Virginia",6,,53,,1,20,4,5,5,145,26,40,14,65,3688,885,46.88,34,,5,,,,12,,,,,,,,,,,,,,,5,,,,,,,,
