names,location,candidate_page,electoral_position,electoral_branch,electoral_level,area,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_color-contrast,error-type_label,error-type_region,error-type_heading-order,error-type_landmark-one-main,error-type_skip-link,error-type_aria-allowed-role,error-type_page-has-heading-one,error-type_duplicate-id-active,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_duplicate-id,error-type_image-alt,error-type_label-title-only,error-type_meta-viewport,error-type_radiogroup,error-type_html-has-lang,error-type_empty-heading,error-type_landmark-no-duplicate-banner,error-type_definition-list,error-type_document-title,error-type_checkboxgroup,error-type_tabindex,error-type_duplicate-id-aria,error-type_frame-title,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_autocomplete-valid,error-type_button-name,error-type_aria-roles,error-type_bypass,error-type_listitem,error-type_frame-title-unique,error-type_landmark-no-duplicate-contentinfo,error-type_list,error-type_aria-valid-attr,error-type_meta-viewport-large,error-type_landmark-contentinfo-is-top-level,error-type_landmark-banner-is-top-level,error-type_image-redundant-alt,error-type_aria-required-attr,error-type_area-alt,error-type_input-image-alt,error-type_aria-allowed-attr,error-type_marquee,error-type_landmark-main-is-top-level,error-type_meta-refresh,error-type_dlitem,error-type_object-alt,error-type_table-duplicate-name,error-type_aria-required-parent,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Steve O'Dorisio,"Adams County, Colorado",https://ballotpedia.org/Steve_O'Dorisio,County Commissioner,Legislative,County,District 4,Won,"159,059","90,438",0.569,https://www.steveodorisio.com/,steveodorisio,,,Democratic Party,7.0,,,15.0,3.0,,,810.0,1.0,,15,948,90,13,34,811,5670,1464,12.0,,81.0,,,,,1.0,15.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,9.0,,,,,,,,106.0,13.0,4.0,0.0,12.0,0.0,0.0,0.0,77.0
Joseph Domenico,"Adams County, Colorado",https://ballotpedia.org/Joseph_Domenico,County Commissioner,Legislative,County,District 4,Lost,"159,059","68,621",0.431,https://www.josephdomenicoacc.com/,,,,Republican Party,,24.0,1.0,13.0,8.0,13.0,,15.0,1.0,,13,141,1,24,35,81,2759,496,64.31230769,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,20.0,9.0,1.0,6.0,0.0,0.0,0.0,17.0
PK Kaiser,"Arapahoe County, Colorado",https://ballotpedia.org/PK_Kaiser,County Assessor,Executive,County,,Won,"247,780","139,787",0.564,https://vote4kaiser.com,vote4kaiser,,,Democratic Party,,,,8.0,9.0,,,314.0,,,8,377,16,0,25,336,1713,469,32.94625,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,26.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0
Joan Lopez,"Arapahoe County, Colorado",https://ballotpedia.org/Joan_Lopez,County Clerk and Recorder,Executive,County,,Won,"249,443","152,761",0.612,https://www.joanlopez4countyclerk.com,thevotinglady,,,Democratic Party,35.0,10.0,,9.0,4.0,9.0,8.0,,8.0,,9,92,9,45,38,0,2858,836,54.84222222,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Lear,"Arapahoe County, Colorado",https://ballotpedia.org/Kelly_Lear,County Coroner,Executive,County,,Won,"245,286","144,562",0.589,http://www.kellylearmdforcoroner.com,,,,Democratic Party,48.0,,,6.0,,6.0,,,6.0,,6,97,25,54,18,0,2807,819,31.618,,25.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Ron Bouchard,"Arapahoe County, Colorado",https://ballotpedia.org/Ron_Bouchard,County Coroner,Executive,County,,Lost,"245,286","91,749",0.374,https://ron4colorado.com,ron4Coroner,,,Republican Party,,9.0,18.0,21.0,1.0,1.0,16.0,9.0,,12.0,21,127,27,23,59,18,4158,1129,68.69428571,9.0,9.0,,,,,,20.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0
Tyler Brown,"Arapahoe County, Colorado",https://ballotpedia.org/Tyler_Brown,County Sheriff,Executive,County,,Won,"248,654","138,334",0.556,https://www.tylerbrownforsheriff.com/,tbrown4sheriff,,,Democratic Party,2.0,55.0,2.0,11.0,13.0,,,,3.0,,11,95,11,57,27,0,2077,543,25.49,,,,,,,,,,,1.0,,,,,,,2.0,4.0,,,,,,2.0,,,,,,,,,,,,,,,,93.0,23.0,1.0,0.0,7.0,0.0,0.0,0.0,62.0
Michael Westerberg,"Arapahoe County, Colorado",https://ballotpedia.org/Michael_Westerberg,County Treasurer,Executive,County,,Won,"246,787","140,859",0.571,https://westerbergfortreasurer.com,west4treasurer,,,Democratic Party,,,1.0,3.0,2.0,3.0,,,,,3,11,1,0,8,2,821,332,66.31,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,28.0
Marsha Berzins,"Arapahoe County, Colorado",https://ballotpedia.org/Marsha_Berzins,County Treasurer,Executive,County,,Lost,"246,787","105,928",0.429,https://www.marshaberzins.com,,,,Nonpartisan,7.0,5.0,,,6.0,,,10.0,2.0,,6,36,0,18,8,10,1976,653,29.45833333,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
Jessica Campbell-Swanson,"Arapahoe County, Colorado",https://ballotpedia.org/Jessica_Campbell-Swanson,County Commissioner,Legislative,County,District 2,Won,"57,738","31,892",0.552,https://www.jessicaforcommissioner.com,JessicaforCCD2,,,Democratic Party,9.0,14.0,3.0,,8.0,,,9.0,7.0,,9,59,3,32,15,9,608,263,56.61625,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
Mark Gotto,"Arapahoe County, Colorado",https://ballotpedia.org/Mark_Gotto,County Commissioner,Legislative,County,District 2,Lost,"57,738","25,846",0.448,https://www.votemarkgotto.com/,,,,Republican Party,,87.0,3.0,,4.0,,,10.0,4.0,,10,119,3,98,8,10,1734,589,68.46111111,,,,,,,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
Leslie Summey,"Arapahoe County, Colorado",https://ballotpedia.org/Leslie_Summey,County Commissioner,Legislative,County,District 4,Won,"41,318","26,727",0.647,https://www.leslie4arapahoe.com/,leslie4arapahoe,,,Democratic Party,21.0,9.0,,,,,,,,,6,37,6,30,0,1,1393,538,63.88833333,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,47.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,28.0
Bob Roth,"Arapahoe County, Colorado",https://ballotpedia.org/Bob_Roth_(Colorado),County Commissioner,Legislative,County,District 4,Lost,"41,318","14,591",0.353,https://bobrothforarapahoe.com/,,,,Nonpartisan,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Steve Schleiker,"El Paso County, Colorado",https://ballotpedia.org/Steve_Schleiker,County Clerk and Recorder,Executive,County,,Won,"273,949","164,963",0.602,https://www.steveschleiker.com/,SteveSchleiker,,,Republican Party,2.0,3.0,2.0,,,,,9.0,8.0,,8,35,2,5,8,20,5772,1569,5.4475,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,51.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0
Lisa Wilkes,"El Paso County, Colorado",https://ballotpedia.org/Lisa_Wilkes,County Clerk and Recorder,Executive,County,,Lost,"273,949","108,986",0.398,http://www.lisawilkes.org/,LisaWilkesEPC,,LisaWilkes77,Democratic Party,27.0,47.0,2.0,7.0,,7.0,,45.0,3.0,,25,138,1,75,17,45,6529,1229,70.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Roybal,"El Paso County, Colorado",https://ballotpedia.org/Joe_Roybal,County Sheriff,Executive,County,,Won,"274,916","165,116",0.601,https://www.roybalforsheriff.com/,,,,Republican Party,,,,1.0,,,,,1.0,,1,2,0,0,2,0,218,120,51.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0
John Foley,"El Paso County, Colorado",https://ballotpedia.org/John_Foley_(Colorado),County Sheriff,Executive,County,,Lost,"274,916","109,800",0.399,https://www.foleyforsheriff.com/,,,,Democratic Party,,,,,1.0,,,,,,1,1,0,0,1,0,196,128,31.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0
Chuck Broerman,"El Paso County, Colorado",https://ballotpedia.org/Chuck_Broerman,County Treasurer,Executive,County,,Won,"274,266","178,805",0.652,https://broermanfortreasurer.com/,,,,Republican Party,,,,5.0,5.0,,,120.0,,,5,143,3,0,10,130,1040,456,5.214,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Holly Williams,"El Paso County, Colorado",https://ballotpedia.org/Holly_Williams,County Commissioner,Legislative,County,District 1,Won,"70,473","48,031",0.682,https://hollyforcolorado.com,,,,Republican Party,90.0,110.0,47.0,26.0,12.0,30.0,,,,,30,1006,74,202,128,602,10002,1907,36.87666667,600.0,,,,,,2.0,30.0,,,,,11.0,2.0,2.0,14.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,57.0,17.0,1.0,0.0,5.0,0.0,0.0,0.0,34.0
Ryan Lucas,"El Paso County, Colorado",https://ballotpedia.org/Ryan_Lucas,County Commissioner,Legislative,County,District 1,Lost,"70,473","22,442",0.318,https://ryanlucasforcolorado.com/,,,,Democratic Party,,,,4.0,5.0,,,106.0,,,4,133,4,0,9,120,499,237,41.775,14.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Cami Bremer,"El Paso County, Colorado",https://ballotpedia.org/Cami_Bremer,County Commissioner,Legislative,County,District 5,Won,"46,119","23,412",0.508,https://www.camibremer.com,,,,Republican Party,24.0,40.0,,9.0,2.0,9.0,,9.0,8.0,,9,110,0,64,28,18,1646,521,-25.85666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
Harry Cohen,"Hillsborough County, Florida",https://ballotpedia.org/Harry_Cohen,County commission,Legislative,County,,Won,"116,531","58,667",0.503,https://electharrycohen.com,,,,Democratic Party,2.0,9.0,,1.0,,1.0,,,,,1,17,3,12,2,0,172,104,77.43,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Levinson,"Hillsborough County, Florida",https://ballotpedia.org/Scott_Levinson,County commission,Legislative,County,,Lost,"116,531","57,864",0.497,https://votelevinson.com/,,,,Republican Party,8.0,6.0,,1.0,2.0,1.0,,,,,1,20,1,15,4,0,7,7,30.53,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ken Hagan,"Hillsborough County, Florida",https://ballotpedia.org/Ken_Hagan_(Florida),County commission,Legislative,County,,Won,"125,257","70,876",0.566,https://votekenhagan.com/,,,,Republican Party,,,,,1.0,,,5.0,2.0,,5,13,0,5,3,5,745,354,28.146,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0
Angela Birdsong,"Hillsborough County, Florida",https://ballotpedia.org/Angela_Birdsong,County commission,Legislative,County,,Lost,"125,257","54,381",0.434,https://www.voteangelabirdsong.com/,VoteBirdsong,,,Democratic Party,,,,,,1.0,,,1.0,,1,4,0,2,2,0,0,0,206.84,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Donna Cameron Cepeda,"Hillsborough County, Florida",https://ballotpedia.org/Donna_Cameron_Cepeda,County commission,Legislative,County,,Won,"470,547","248,135",0.527,https://donnacameroncepeda.com/,,,,Republican Party,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,68,57,32.29,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariella Smith,"Hillsborough County, Florida",https://ballotpedia.org/Mariella_Smith,County commission,Legislative,County,,Lost,"470,547","222,412",0.473,https://mariellasmith.com,,,,Democratic Party,,1.0,32.0,8.0,5.0,,,39.0,3.0,,8,88,32,1,16,39,3686,473,46.90125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0
Joshua Wostal,"Hillsborough County, Florida",https://ballotpedia.org/Joshua_Wostal,County commission,Legislative,County,,Won,"470,913","246,668",0.524,https://joshuawostal.com,JoshuaWostal,,,Republican Party,1.0,,3.0,1.0,,,,1.0,1.0,,1,8,3,2,2,1,400,221,42.72,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kimberly Overman,"Hillsborough County, Florida",https://ballotpedia.org/Kimberly_Overman,County commission,Legislative,County,,Lost,"470,913","224,245",0.476,https://kimberlyoverman.com/,,,,Democratic Party,,,,1.0,,1.0,,,1.0,,1,3,0,0,3,0,0,0,206.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,3.0,1.0,0.0,10.0,2.0,0.0,0.0,16.0
E. Michael Isaak,"Hillsborough County, Florida",https://ballotpedia.org/E._Michael_Isaak,Judicial offices,Judicial,County,,Lost,"413,216","147,812",0.358,https://www.votemikeisaak.com/,,,,Nonpartisan,10.0,41.0,1.0,3.0,4.0,,,11.0,2.0,,11,90,6,51,20,13,2614,777,60.15727273,2.0,5.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marleine Bastien,"Miami-Dade County, Florida",https://ballotpedia.org/Marleine_Bastien,County commission,Legislative,County,,Won,"37,214","21,930",0.589,https://www.votemarleinebastien.com,MarleineBastien,,,Nonpartisan,11.0,3.0,,2.0,,,,,1.0,,8,22,3,14,3,2,2482,735,50.92125,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,79.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,56.0
Philippe Bien-Aime,"Miami-Dade County, Florida",https://ballotpedia.org/Philippe_Bien-Aime,County commission,Legislative,County,,Lost,"37,214","15,284",0.411,https://philippebienaime.com/,,,,Nonpartisan,19.0,27.0,58.0,9.0,7.0,,,52.0,1.0,,10,275,100,46,17,112,2904,738,61.203,60.0,,,,,,,,,,2.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,24.0
Kevin Marino Cabrera,"Miami-Dade County, Florida",https://ballotpedia.org/Kevin_Marino_Cabrera,County commission,Legislative,County,,Won,"52,318","32,238",0.616,http://kevinmarinocabrera.com,_KevinMarino,,,Nonpartisan,6.0,,,1.0,2.0,1.0,,,,,1,11,1,6,4,0,3,3,119.19,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,14.0
Jorge Fors,"Miami-Dade County, Florida",https://ballotpedia.org/Jorge_Fors,County commission,Legislative,County,,Lost,"52,318","20,080",0.384,https://www.forsdistrict6.com/,,,,Nonpartisan,,1.0,,,4.0,,,,,,1,11,3,4,4,0,565,274,-8.35,,,2.0,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Maribel Gomez Cordero,"Orange County, Florida",https://ballotpedia.org/Maribel_Gomez_Cordero,County commission,Legislative,County,District 4,Won,"54,967","31,519",0.573,http://www.reelectmaribelford4.com/,,,,Nonpartisan Party,,,,1.0,,1.0,,,,,1,4,1,1,2,0,20,20,85.02,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mercedes Fonseca,"Orange County, Florida",https://ballotpedia.org/Mercedes_Fonseca,County commission,Legislative,County,District 4,Lost,"54,967","23,448",0.427,https://www.vote4mercedes.com/,mercedesfor4,,,Nonpartisan,27.0,79.0,,,2.0,,,,4.0,,9,120,8,106,6,0,2967,865,41.04333333,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,44.0,11.0,1.0,0.0,5.0,0.0,0.0,0.0,27.0
Michael Scott,"Orange County, Florida",https://ballotpedia.org/Michael_Scott_(Florida),County commission,Legislative,County,District 6,Won,"32,165","16,453",0.512,http://www.mymikescott.com/,,,,Nonpartisan,4.0,7.0,1.0,1.0,2.0,,,1.0,1.0,,1,27,2,11,5,9,181,117,70.43,8.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,44.0,23.0,7.0,1.0,7.0,0.0,0.0,0.0,6.0
Lawanna Gelzer,"Orange County, Florida",https://ballotpedia.org/Lawanna_Gelzer,County commission,Legislative,County,District 6,Lost,"32,165","15,712",0.488,https://www.lawannagelzer.com/,,,,Nonpartisan,36.0,,1.0,,1.0,,,2.0,4.0,,4,46,2,36,5,3,790,321,2.375,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,32.0
Bruce Bartlett,"Pinellas County, Florida",https://ballotpedia.org/Bruce_Bartlett,State attorney,Executive,County,,Won,"415,470","230,990",0.556,https://www.votebrucebartlett.com/,,,,Republican Party,,,,,1.0,,,,1.0,,2,2,0,0,2,0,600,302,57.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0
Allison Miller,"Pinellas County, Florida",https://ballotpedia.org/Allison_Miller,State attorney,Executive,County,,Lost,"415,470","184,480",0.444,https://millerforstateattorney.com/,AFMiller2021,,,Democratic Party,58.0,4.0,6.0,11.0,12.0,,,45.0,1.0,,11,137,6,62,24,45,2015,495,38.36818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,17.0
Brian Scott,"Pinellas County, Florida",https://ballotpedia.org/Brian_Scott_(Florida),County commission,Legislative,County,,Won,"414,415","223,768",0.54,https://votebrianscott.com,,,,Republican Party,,,,3.0,,3.0,,,,,3,44,0,4,6,34,710,333,44.87333333,34.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,28.0
Pat Gerard,"Pinellas County, Florida",https://ballotpedia.org/Pat_Gerard,County commission,Legislative,County,,Lost,"414,415","190,647",0.46,https://www.gerardforpinellas.com/,,,,Democratic Party,,,,,,1.0,,,1.0,,1,4,0,2,2,0,0,0,206.84,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Della Cope,"Pinellas County, Florida",https://ballotpedia.org/Della_Cope,Judicial offices,Judicial,County,,Won,"344,261","202,079",0.587,https://www.della4judge.com,,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Megan Roach,"Pinellas County, Florida",https://ballotpedia.org/Megan_Roach,Judicial offices,Judicial,County,,Lost,"344,261","142,182",0.413,https://www.meganforjudge.com/,meganforjudge1,,,Nonpartisan,1.0,16.0,3.0,,3.0,,,6.0,4.0,,6,75,39,23,7,6,1847,680,40.35,,,,,,,,,,,,6.0,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,21.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
Michelle Long Spears,"DeKalb County, Georgia",https://ballotpedia.org/Michelle_Long_Spears,Board of Commissioners,Legislative,County,,Won,"58,758","58,758",1.0,https://www.michellefordekalb.com/,,,,Democratic Party,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Larry Johnson,"DeKalb County, Georgia",https://ballotpedia.org/Larry_Johnson_(Georgia),Board of Commissioners,Legislative,County,,Won,"63,546","63,546",1.0,https://commissionerlarryjohnson.com/,,,,Democratic Party,310.0,592.0,150.0,124.0,9.0,36.0,31.0,405.0,52.0,,124,2009,204,1148,252,405,26658,2624,26.32733871,,,120.0,,,2.0,,,,,,,,119.0,,,,,,3.0,,2.0,,,54.0,,,,,,,,,,,,,,,,67.0,30.0,5.0,0.0,5.0,0.0,0.0,0.0,27.0
Kimberly Anderson,"DeKalb County, Georgia",https://ballotpedia.org/Kimberly_Anderson_(Georgia),Judicial,Judicial,County,,Won,"109,106","109,106",1.0,https://judgekimberlyanderson.com/,,,,Nonpartisan,,4.0,2.0,3.0,,3.0,,,1.0,,3,27,5,7,7,8,285,140,41.48666667,8.0,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Robb Pitts,"Fulton County, Georgia",https://ballotpedia.org/Robb_Pitts,Board of Commissioners,Legislative,County,,Won,"347,567","347,567",1.0,https://robbpitts.com/,,,,Democratic Party,93.0,231.0,5.0,19.0,24.0,19.0,,,1.0,,19,392,5,324,63,0,7433,1605,26.98444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Maggie R. Goldman,"Fulton County, Georgia",https://ballotpedia.org/Maggie_Goldman,Board of Commissioners,Legislative,County,,Lost,"72,410","36,008",0.497,https://maggie4fulton.com,Maggie4Fulton,,,Democratic Party,9.0,16.0,,,,,,1.0,,,1,29,1,27,0,1,36,31,77.24,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,49.0,15.0,1.0,0.0,12.0,0.0,0.0,0.0,21.0
Dana Barrett,"Fulton County, Georgia",https://ballotpedia.org/Dana_Barrett,Board of Commissioners,Legislative,County,,Won,"77,280","42,082",0.545,https://electdanabarrett.com/,,,,Democratic Party,12.0,15.0,,4.0,1.0,3.0,,5.0,1.0,,4,41,0,27,9,5,1379,590,28.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0
Lee Morris,"Fulton County, Georgia",https://ballotpedia.org/Lee_Morris,Board of Commissioners,Legislative,County,,Lost,"77,280","35,198",0.455,https://voteleemorris.com/,,,,Republican Party,1.0,33.0,21.0,9.0,,9.0,,36.0,9.0,,9,121,21,37,27,36,3553,1052,52.71875,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,10.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
Marvin Arrington Jr.,"Fulton County, Georgia",https://ballotpedia.org/Marvin_Arrington_Jr.,Board of Commissioners,Legislative,County,,Won,"61,153","61,153",1.0,https://marvinarringtonjr.com,,,marvinarrington,Democratic Party,,1.0,,,1.0,,,,,,1,3,0,1,1,1,21,17,50.16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0
Chuck Eaton,"Fulton County, Georgia",https://ballotpedia.org/Chuck_Eaton,Judicial,Judicial,County,,Won,"156,399","89,335",0.571,https://judgeeaton.com/,,,chuckeatonga,Nonpartisan,5.0,,,5.0,5.0,,,146.0,,,5,191,11,5,10,165,1278,392,56.124,19.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,13.0
Shalanda Miller,"Fulton County, Georgia",https://ballotpedia.org/Shalanda_Miller,Judicial,Judicial,County,,Lost,"156,399","67,064",0.429,https://www.shalandamiller.com/,Shalanda4Judge,,,Nonpartisan,35.0,227.0,,,,,,,7.0,,7,269,0,262,7,0,674,143,55.08142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,28.0
Paige Whitaker,"Fulton County, Georgia",https://ballotpedia.org/Paige_Whitaker,Judicial,Judicial,County,,Won,"153,097","98,852",0.646,https://www.keepjudgewhitaker.com/,,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
Rebecca W. Arnold,"Ada County, Idaho",https://ballotpedia.org/Rebecca_W._Arnold,County assessor,Executive,County,,Won,"175,646","103,141",0.587,https://arnoldforidaho.com,,,Rebarnold,Republican Party,16.0,3.0,,8.0,5.0,8.0,8.0,8.0,,,8,64,0,27,29,8,2933,802,42.91,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0
Matthew Clifford,"Ada County, Idaho",https://ballotpedia.org/Matthew_Clifford,County sheriff,Executive,County,,Won,"178,503","105,042",0.588,https://mattcliffordforsheriff.com,,,,Republican Party,,4.0,,,,,,4.0,4.0,,4,16,0,8,4,4,423,235,61.2,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
