names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt
Eric Mulder,Colorado 6th,House,Federal,Legislative,https://ballotpedia.org/Eric_Mulder,https://mulderforco.com,MulderForCO,,AgentMulder303,Libertarian Party,Lost,"191,725","3,033",0.016,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Aadland,Colorado 7th,House,Federal,Legislative,https://ballotpedia.org/Erik_Aadland,https://aadlandforcolorado.com/,AadlandforCO,,,Republican Party,Lost,"363,601","150,510",0.414,196,,183,196,196,774,47,197,379,151,54194,3997,56.16549738,42,,,,,146,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
Ross Klopf,Colorado 7th,House,Federal,Legislative,https://ballotpedia.org/Ross_Klopf,https://klopfforcongress.com/,,,KlopfRoss,Libertarian Party,Lost,"363,601","6,187",0.017,,3,6,3,3,139,18,3,9,109,580,202,61.33666667,,,,,,86,18,,,,,21,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Lazor,Connecticut 1st,House,Federal,Legislative,https://ballotpedia.org/Larry_Lazor,https://lazorforcongress.com/,LarryLazor,,,Republican Party,Lost,"236,967","89,487",0.378,9,17,2,17,17,112,12,27,38,35,9261,2059,46.00294118,3,,,,2,35,6,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
Mike France,Connecticut 2nd,House,Federal,Legislative,https://ballotpedia.org/Mike_France,https://votemikefrance.com/,MikeFranceCT2,,,Republican Party,Lost,"281,284","113,435",0.403,4,77,32,19,19,242,88,83,71,0,3200,841,77.25764706,28,,1,,1,,19,19,,,19,,2,9,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Lesley DeNardis,Connecticut 3rd,House,Federal,Legislative,https://ballotpedia.org/Lesley_DeNardis,https://lesleyforcongress.com,lesleyforct,,,Republican Party,Lost,"234,686","96,388",0.411,,,,1,1,9,0,3,2,4,2031,539,51.38,,,,,,4,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Amy Chai,Connecticut 3rd,House,Federal,Legislative,https://ballotpedia.org/Amy_Chai,https://docchai2022.com,docchai2022,,,Independent Party,Lost,"234,686","3,908",0.017,2,27,2,11,11,134,49,51,34,0,5061,1302,71.16090909,,,,,10,,49,,2,11,11,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayme Stevenson,Connecticut 4th,House,Federal,Legislative,https://ballotpedia.org/Jayme_Stevenson,https://jaymestevensonforcongress.com,Jayme4Congress,,,Republican Party,Lost,"230,114","94,599",0.411,120,204,6,51,51,1336,295,407,108,526,15713,2629,48.84078431,35,1,2,51,,52,184,51,,,51,473,22,,1,,1,,,,,,,,,,,,,,,,,,9,,22,,,,,,,
Cody McNutt,Delaware 1st,House,Federal,Legislative,https://ballotpedia.org/Cody_McNutt,https://www.codyrmcnutt.com/,codyrmcnutt,,,Libertarian Party,Lost,"321,667","3,074",0.01,,,1,,4,12,0,4,4,4,120,68,43.435,,,,,3,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Rebekah Jones,Florida 1st,House,Federal,Legislative,https://ballotpedia.org/Rebekah_Jones,https://www.rebekahjonescampaign.com/,GeoRebekah,,,Democratic Party,Lost,"289,672","93,178",0.322,2280,478,35,7,117,3066,220,2760,46,40,92281,8099,41.42327586,4,,,,2,2,8,,,2,2,7,,100,99,9,18,,,,,,,,,,,,,,,,,,,,,13,,,,,,
Alfred Lawson,Florida 2nd,House,Federal,Legislative,https://ballotpedia.org/Alfred_Lawson,https://www.allawson.com,AlLawsonJr,,,Democratic Party,Lost,"300,715","120,842",0.402,2,,,4,4,16,0,2,8,6,641,288,54.125,,,,,4,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle Hawk,Florida 3rd,House,Federal,Legislative,https://ballotpedia.org/Danielle_Hawk,https://www.daniellehawk.com/,HawkforCongress,,,Democratic Party,Lost,"284,658","103,254",0.363,1,15,,2,5,26,1,16,6,3,1563,695,51.854,1,,,,4,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linda Brooks,Florida 3rd,House,Federal,Legislative,https://ballotpedia.org/Linda_Brooks_(Florida),https://linda-brooks.com,LindaSBrooks1,,,No Party Affiliation,Lost,"284,658","3,405",0.012,13,,1,4,4,128,10,13,5,100,5800,1069,22.2175,,,,,,82,10,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaShonda Holloway,Florida 4th,House,Federal,Legislative,https://ballotpedia.org/L.J._Holloway,https://ljhollowayforcongress.com/,LJ4Congress,,LJHolloway,Democratic Party,Lost,"274,103","108,402",0.395,34,39,,8,8,101,8,76,16,1,1426,389,57.74375,,,,,,,1,7,,,8,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Gary Koniz,Florida 4th,House,Federal,Legislative,https://ballotpedia.org/Gary_Koniz,https://www.garykonizforcongress.com/,,,,No Party Affiliation,Lost,"274,103",5,0,1,,,1,1,5,0,2,3,0,68,57,32.29,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen Green,Florida 7th,House,Federal,Legislative,https://ballotpedia.org/Karen_Green_(Florida),https://karengreenforflorida.com/,KarenforFlorida,,drkarengreen,Democratic Party,Lost,"304,055","126,079",0.415,22,18,,,1,47,5,40,1,1,111,75,49.15,,,,,1,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanne Terry,Florida 8th,House,Federal,Legislative,https://ballotpedia.org/Joanne_Terry,https://www.joanneterry.com/,Joanne4Congress,,,Democratic Party,Lost,"341,883","119,917",0.351,52,4,4,25,25,138,2,59,58,19,1100,161,73.0684,,,,,4,,2,,3,,25,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotty Moore,Florida 9th,House,Federal,Legislative,https://ballotpedia.org/Scotty_Moore,https://www.scottymooreforcongress.com/,ScottyMoore4FL,,,Republican Party,Lost,"202,137","93,739",0.464,,44,1,,27,210,2,100,14,94,4846,1050,38.43076923,2,10,,,13,39,,,,,,49,15,,,,,,,,4,,,,,27,,,,,,,,,,,,6,,,,,,
Calvin Wimbish,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Calvin_Wimbish,https://votecal2022.org/,cbwimbish,,,Republican Party,Lost,"199,614","78,762",0.395,,32,5,32,32,1935,97,39,48,1751,2313,667,54.09586207,8,,,,5,1686,46,,,,3,65,1,43,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,
Jason Holic,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Jason_Holic,https://www.jasonholic.com/,HolicCongress,,jholic,No Party Affiliation,Lost,"199,614","1,998",0.01,4,,2,6,6,147,6,4,23,114,1725,505,62.83333333,,,,,3,114,,,,,,,,,,,,,6,6,,,,,,,,,,,6,,,,,,,,,,,,,
Usha Jain,Florida 10th,House,Federal,Legislative,https://ballotpedia.org/Usha_Jain,https://electdoctorjain.com/,,,DRUSHAJAIN,No Party Affiliation,Lost,"199,614","1,109",0.006,,58,,657,657,938,1,260,657,20,996026,2751,58.33059451,,,,,,19,,,,,,1,177,,,,,,,,,,,,25,,,,,,,,,,,,1,,,,,,,
Shante Munns,Florida 11th,House,Federal,Legislative,https://ballotpedia.org/Shante_Munns,https://voteforshante.com/,ShanteMunns,,,Democratic Party,Lost,"325,921","115,382",0.354,42,,6,16,16,120,36,42,38,4,6440,825,43.77125,36,,,,,,,,,,16,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Walker,Florida 12th,House,Federal,Legislative,https://ballotpedia.org/Kimberly_Walker,https://kimberlyforcongress.com/,kw4congress,,,Democratic Party,Lost,"321,995","95,390",0.296,16,10,10,10,10,118,41,33,40,4,5897,1626,53.67,22,,,,10,4,19,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Eric Lynn,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Eric_Lynn,https://www.ericlynnforcongress.com/,EricLynnFL,,,Democratic Party,Lost,"341,546","153,876",0.451,1,6,,1,1,46,3,8,1,34,436,231,58.86,,,,,,5,1,,,,,29,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,
Dwight Young,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Dwight_Young,https://dwightyoungforcongress.com/,dy4congress,,,No Party Affiliation,Lost,"341,546",17,0,118,3,33,31,31,274,45,121,105,3,8595,1439,56.21677419,2,,,,10,,10,31,,,31,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Curnow,Florida 13th,House,Federal,Legislative,https://ballotpedia.org/Jacob_Curnow,https://jacobcurnowforcongress.weebly.com/,,,RealJacobCurnow,No Party Affiliation,Lost,"341,546",3,0,2,1,,1,1,10,2,3,3,2,2180,847,42.14,,,,,1,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Judge,Florida 14th,House,Federal,Legislative,https://ballotpedia.org/James_Judge,https://judgeforcongress.com/,jamespjudge,,,Republican Party,Lost,"262,844","113,291",0.431,1840,609,57,68,68,2953,142,2451,206,154,62423,3120,47.63897059,76,,,,3,134,66,,,1,1,,1,,,,,,,,,,,,,,10,,,,,,,,,,,20,,67,,,,
Jan Schneider,Florida 16th,House,Federal,Legislative,https://ballotpedia.org/Jan_Schneider,https://votejan.com/,,,,Democratic Party,Lost,"305,358","115,575",0.378,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Serratore,Florida 18th,House,Federal,Legislative,https://ballotpedia.org/Leonard_Serratore,https://www.electleonardserratore.com/,LennySerratore,,,No Party Affiliation,Lost,"224,234",158,0.001,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Banyai,Florida 19th,House,Federal,Legislative,https://ballotpedia.org/Cindy_Banyai,https://www.cindybanyai.com/,Cindy_Banyai_FL,,,Democratic Party,Lost,"313,274","100,226",0.32,451,604,387,9,195,1915,289,1055,427,144,65516,5913,58.88764103,,,,,31,80,,,,,,43,,165,118,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Post,Florida 19th,House,Federal,Legislative,https://ballotpedia.org/Patrick_Post,https://www.patrickpostforcongress2022.com/,,,,No Party Affiliation,Lost,"313,274",13,0,14,44,,20,20,137,13,58,60,6,2824,658,2.877,,,,,20,,13,,,,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew-Montez Clark,Florida 20th,House,Federal,Legislative,https://ballotpedia.org/Drew-Montez_Clark,https://drewmontezclark.com/,drewmontezclark,,,Republican Party,Lost,"187,846","52,057",0.277,37,6,4,6,6,111,12,50,14,35,2132,749,29.25166667,,,,,4,23,6,,,,,6,2,6,,,6,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Corinna Robinson,Florida 21st,House,Federal,Legislative,https://ballotpedia.org/Corinna_Robinson,https://www.corinnaforflorida.us/,CorinnaRobinson,,,Democratic Party,Lost,"328,120","119,712",0.365,47,,14,,28,149,62,47,23,17,4923,1221,53.05321429,1,,,,9,,,,,,,2,,25,34,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Franzese,Florida 22nd,House,Federal,Legislative,https://ballotpedia.org/Dan_Franzese,https://danforfl.com/,danforfl,,,Republican Party,Lost,"271,730","122,038",0.449,120,357,,,36,570,0,480,18,72,20538,2145,51.70055556,,,,,18,72,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine Scott,Florida 23rd,House,Federal,Legislative,https://ballotpedia.org/Christine_Scott,https://christinescottforcongress2022.wordpress.com/,,,,No Party Affiliation,Lost,"277,046","3,046",0.011,60,,97,109,109,423,23,64,217,119,28513,2389,59.2266055,1,,,4,11,118,,11,,,,1,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
Mark Napier,Florida 23rd,House,Federal,Legislative,https://ballotpedia.org/Mark_Napier_(Florida),https://www.napierforcongress2022.org/,Napier2022,,,No Party Affiliation,Lost,"277,046","1,326",0.005,54,6,13,,8,89,4,68,14,3,7135,2051,46.44875,,,,,1,3,,,,,,,,,3,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Jesus G. Navarro,Florida 24th,House,Federal,Legislative,https://ballotpedia.org/Jesus_Navarro,https://www.jesusgnavarro.com/,Jesus_G_Navarro,,,Republican Party,Lost,"185,765","52,413",0.282,1,6,,,1,8,0,7,0,1,679,327,46.37,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carla Spalding,Florida 25th,House,Federal,Legislative,https://ballotpedia.org/Carla_Spalding,https://carlaspaldingforcongress.com/,CarlaSpaldingFL,,,Republican Party,Lost,"233,499","104,819",0.449,,,3,1,1,115,14,0,5,96,1126,527,51.18,,,,,,86,10,,,,,9,,4,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Christine Alexandria Olivo,Florida 26th,House,Federal,Legislative,https://ballotpedia.org/Christine_Alexandria_Olivo,https://www.christineforcongress.org/,ChristineforFL,,,Democratic Party,Lost,"201,982","58,794",0.291,55,,4,,5,76,11,55,9,1,761,276,63.298,1,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Wade Herring,Georgia 1st,House,Federal,Legislative,https://ballotpedia.org/Wade_Herring,https://www.wadeherringforcongress.com/,wadeherringga1,,,Democratic Party,Lost,"263,674","107,659",0.408,155,,1,,12,235,2,171,12,50,961,366,78.05,,,,,11,46,,,,,,4,1,,,,,,,,3,,,,,12,,1,,,,,,,,1,,,,,,,,
Chris West,Georgia 2nd,House,Federal,Legislative,https://ballotpedia.org/Chris_West_(Georgia),https://chriswestga.com/,ChrisWestGA,,,Republican Party,Lost,"240,516","108,267",0.45,123,84,2,,21,278,4,213,2,59,6753,1453,63.89666667,4,,,,,59,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Val Almonord,Georgia 3rd,House,Federal,Legislative,https://ballotpedia.org/Val_Almonord,https://almonordforcongress.com/,valforcongress3,,,Democratic Party,Lost,"310,241","96,788",0.312,65,78,10,8,8,185,0,158,27,0,2477,503,43.57125,,,,,1,,,,,,8,,4,,,,,,,,2,,,,,,,,,9,,,,,,,,,,,,,,
Christian Zimm,Georgia 5th,House,Federal,Legislative,https://ballotpedia.org/Christian_Zimm,https://www.christianzimm.com,ChristianZimm_,,,Republican Party,Lost,"294,298","51,594",0.175,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Christian,Georgia 6th,House,Federal,Legislative,https://ballotpedia.org/Bob_Christian,https://christianforga6.com/,ChristianForGA6,,,Democratic Party,Lost,"324,768","122,053",0.376,44,1,4,17,17,365,35,47,45,238,3626,1001,59.07235294,18,,,,7,,,17,1,,17,238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Gonsalves,Georgia 7th,House,Federal,Legislative,https://ballotpedia.org/Mark_Gonsalves,https://markforgeorgia.com,MarkCongressGA7,,,Republican Party,Lost,"234,339","91,262",0.389,8,9,,2,2,42,7,18,5,12,371,169,71.515,5,1,1,,,12,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
Darrius Butler,Georgia 8th,House,Federal,Legislative,https://ballotpedia.org/Darrius_Butler,https://www.darriusbutler.com/,revdbutler,,,Democratic Party,Lost,"260,293","81,733",0.314,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabitha Johnson-Green,Georgia 10th,House,Federal,Legislative,https://ballotpedia.org/Tabitha_Johnson-Green,https://www.tabithaforcongress.com/,Tabitha57363624,,,Democratic Party,Lost,"307,487","109,074",0.355,3,20,1,11,13,36,1,23,12,0,2701,917,52.73076923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Daza,Georgia 11th,House,Federal,Legislative,https://ballotpedia.org/Antonio_Daza,https://votedaza.com/,VoteDaza2022,,AntonioDaza,Democratic Party,Lost,"302,138","112,722",0.373,,,3,3,3,57,1,0,6,50,145,86,75.605,,,,,,43,1,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Johnson,Georgia 12th,House,Federal,Legislative,https://ballotpedia.org/Liz_Johnson_(Georgia),https://www.lizjohnsonforus.com/,lizjohnsonforus,,,Democratic Party,Lost,"265,015","107,079",0.404,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar Gonzales,Georgia 13th,House,Federal,Legislative,https://ballotpedia.org/Caesar_Gonzales,https://caesargonzalesforcongress.us,Mechracer74,,,Republican Party,Lost,"263,832","48,129",0.182,,8,17,12,12,685,33,13,29,610,4608,1065,50.38666667,6,,,,,565,25,,,,,45,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Flowers,Georgia 14th,House,Federal,Legislative,https://ballotpedia.org/Marcus_Flowers,https://marcusforgeorgia.com/,Marcus4Georgia,,,Democratic Party,Lost,"258,005","88,018",0.341,40,,,,18,70,0,52,0,18,2381,370,56.20529412,,,,,,18,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conrad Kress,Hawaii 1st,House,Federal,Legislative,https://ballotpedia.org/Conrad_Kress,https://conradkressforhawaii.com/,conradkressHI01,,,Republican Party,Lost,"150,349","34,323",0.228,1,3,,1,1,9,0,4,3,2,108,80,42.05,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darian Drake,Idaho 1st,House,Federal,Legislative,https://ballotpedia.org/Darian_Drake,https://darian.us,DarianDrake,,,Libertarian Party,Lost,"223,596","5,485",0.025,100,13,1,14,14,203,17,113,31,42,6182,1427,55.24785714,4,,,,2,42,13,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Carlson,Illinois 1st,House,Federal,Legislative,https://ballotpedia.org/Eric_Carlson,https://www.ericcarlsonforcongress.com/,EricCarlsonIL01,,,Republican Party,Lost,"237,425","78,258",0.33,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Burau,Illinois 3rd,House,Federal,Legislative,https://ballotpedia.org/Justin_Burau,https://www.burauforcongress.com/,JustinBurau,,,Republican Party,Lost,"162,717","54,147",0.333,,,2,,5,25,4,7,4,10,4447,1068,68.136,3,,,,2,5,,,,,,5,2,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
James Falakos,Illinois 4th,House,Federal,Legislative,https://ballotpedia.org/James_Falakos,https://falakos4congress.com/,,,,Republican Party,Lost,"133,047","37,352",0.281,77,9,2,9,9,136,2,86,45,3,1911,514,28.93555556,,,2,,7,,,,,,2,3,,,,,,,7,,,,,,,,9,,,,,9,,,,,,,,,,,,
Jerico Matias Cruz,Illinois 5th,House,Federal,Legislative,https://ballotpedia.org/Jerico_Matias_Cruz,https://cruzforuscongress.org/,cruzforuscong,,,Independent,Lost,"239,957","3,920",0.016,,,42,20,20,1889,17,5,62,1805,5586,1055,41.705,,,,,,1692,13,,,,,113,5,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Keith Pekau,Illinois 6th,House,Federal,Legislative,https://ballotpedia.org/Keith_Pekau,https://www.keithpekau.com/,KeithPekau,,MayorPekau,Republican Party,Lost,"276,859","126,351",0.456,5,,,1,1,11,3,5,2,1,125,90,61.77,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Rice,Illinois 9th,House,Federal,Legislative,https://ballotpedia.org/Max_Rice,https://www.maxriceforcongress.com/,checkrice,,,Republican Party,Lost,"200,803","56,055",0.279,4,12,,,4,30,0,16,10,4,1669,622,55.3125,,,,,2,,,,,,4,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Joseph Severino,Illinois 10th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Severino,https://www.severinoforcongress.com/,Joe_Severino,,,Republican Party,Lost,"220,701","80,642",0.365,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Lauf,Illinois 11th,House,Federal,Legislative,https://ballotpedia.org/Catalina_Lauf,https://www.catalinaforcongress.com/,CatalinaLauf,,,Republican Party,Lost,"264,241","115,069",0.435,,,2,,1,9,0,2,2,5,629,334,52.19,,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan Deering,Illinois 13th,House,Federal,Legislative,https://ballotpedia.org/Regan_Deering,https://www.regan4congress.com,Regan4Congress,,,Republican Party,Lost,"236,096","106,853",0.453,1,1,2,1,1,11,5,2,3,1,288,164,54.32,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Gryder,Illinois 14th,House,Federal,Legislative,https://ballotpedia.org/Scott_Gryder,https://www.scottgryder.com/,Gryder4Congress,,,Republican Party,Lost,"231,875","107,247",0.463,1320,619,27,70,70,2282,210,1948,105,19,33423,3530,52.524,198,4,,,4,6,,,,4,4,10,1,,,,3,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Elizabeth Haderlein,Illinois 16th,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Haderlein,https://haderleinforcongress.com/,LisaHaderlein,,,Democratic Party,Lost,"238,500","79,705",0.334,4,1,11,6,6,317,14,5,17,281,1380,512,60.93333333,,,,,,260,14,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esther Joy King,Illinois 17th,House,Federal,Legislative,https://ballotpedia.org/Esther_Joy_King,https://www.estherforcongress.com/,esther4congress,,estherjoyking,Republican Party,Lost,"230,828","111,378",0.483,4,1,,1,1,9,1,6,2,0,51,41,71.14,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer-Ruth Green,Indiana 1st,House,Federal,Legislative,https://ballotpedia.org/Jennifer-Ruth_Green,https://jennifer-ruthgreen.com/,JenRuthGreen,,,Republican Party,Lost,"213,207","100,542",0.472,290,210,,40,40,674,40,525,109,0,22581,2672,38.212,,,,,29,,,40,24,,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Gotsch,Indiana 3rd,House,Federal,Legislative,https://ballotpedia.org/Nathan_Gotsch,https://www.nathanforus.com,NathanCongress,,,Independent,Lost,"239,647","11,158",0.047,1,23,31,,29,181,3,73,36,69,10614,2036,43.66793103,1,17,,,5,44,,,,,,25,,,,,,,,,4,,,,,28,,,,,,,,,,,2,,,,,,,
Jeannine Lee Lake,Indiana 5th,House,Federal,Legislative,https://ballotpedia.org/Jeannine_Lee_Lake,https://jeannineleelakeforcongress.com/,lakeforcongress,,,Democratic Party,Lost,"239,869","93,373",0.389,37,80,14,16,17,199,30,117,52,0,4720,902,62.52352941,10,,,,3,,,,,,17,,,,,,,,2,,,,,,,,,20,,,,,,,,,,,,,,,,
Cynthia Wirth,Indiana 6th,House,Federal,Legislative,https://ballotpedia.org/Cynthia_Wirth,https://www.wirth4congress.com,cwirth4congress,,cindewirth,Democratic Party,Lost,"174,112","55,716",0.32,12,9,1,1,1,36,1,21,3,11,453,228,63.59,,,,,,1,,1,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Grabovsky,Indiana 7th,House,Federal,Legislative,https://ballotpedia.org/Angela_Grabovsky,https://angelaforindiana.com/,angelaforIN7,,,Republican Party,Lost,"163,122","49,983",0.306,,33,9,7,7,95,11,40,30,14,3847,958,47.79714286,11,,,,2,14,,,,,5,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Andy Horning,Indiana 8th,House,Federal,Legislative,https://ballotpedia.org/Andy_Horning,https://horning4congress.com/,HorningCongress,,,Libertarian Party,Lost,"209,549","5,780",0.028,5,3,1,1,1,10,0,8,2,0,282,172,49.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Fyfe,Indiana 9th,House,Federal,Legislative,https://ballotpedia.org/Matthew_Fyfe,https://mattfyfe.com/,Hoosiers4Fyfe,,,Democratic Party,Lost,"225,276","75,700",0.336,23,82,17,9,9,607,9,115,65,418,1145,298,79.74222222,,,,,3,413,,9,,,9,5,1,,,,,,9,,,,,,,9,9,,,,,9,,,,,,,,,,,,
Tonya Millis,Indiana 9th,House,Federal,Legislative,https://ballotpedia.org/Tonya_Millis,https://tonyaforcongress.com/,,,,Libertarian Party,Lost,"225,276","6,374",0.028,141,7,4,13,13,279,13,148,23,95,6103,1500,78.92461538,1,,,,6,95,,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Liz Mathis,Iowa 2nd,House,Federal,Legislative,https://ballotpedia.org/Liz_Mathis,https://lizmathis.com/,LizMathis1,,,Democratic Party,Lost,"303,976","136,072",0.448,305,12,53,,49,632,25,317,148,142,25120,3581,51.04346939,,,,,1,49,25,,,,47,24,,,,,21,,,,,47,,,,,,,,,,,,,,,,48,,,,,,
Cindy Axne,Iowa 3rd,House,Federal,Legislative,https://ballotpedia.org/Cindy_Axne,https://cindyaxneforcongress.com/,Axne4Congress,,,Democratic Party,Lost,"310,855","154,084",0.496,9708,631,249,471,471,19344,488,14147,2603,2106,203202,8019,35.6363482,7,,1,,2,1634,10,470,,,1,470,7,,,,2,,470,,,,,,,,,,,3801,470,470,,,,,,,,470,,,,
Ryan Melton,Iowa 4th,House,Federal,Legislative,https://ballotpedia.org/Ryan_Melton,https://meltonforiowa.com,melton4iowa,,,Democratic Party,Lost,"234,537","71,063",0.303,,,,,1,3,0,1,1,1,135,101,60.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
